Sent_id,Ambiguous Sentence
bli_23702,Evlilik hazırlığındaki Esra dans etmeyi deneyimli bir dansözden öğrenmek istiyor.
bpq_63749,Leyla kurabiye dolgusu yapmak için bir kavanoz böğürtlen marmelatı istiyor.
bzm_96874,Komite her katılımcının hile yaptığını düşünüyor.
bpx_75201,Hakim her tutuklunun suçlu olduğunu düşünüyor.
bll_96797,Buse her çiçeğin gül olduğunu düşünüyor.
bef_47489,Lale çoğu politikacının yalancı olduğunu düşünüyor.
bin_91612,Polis çoğu tutuklunun gerçekten suçlu olduğundan şüpheleniyor.
bgq_55561,Berke çoğu öğrencinin çok zeki olduğundan şüpheleniyor.
bae_43693,Öğretmen çoğu öğrencinin kopya çektiğinden şüpheleniyor.
bjp_34925,çoğu güvenlik görevlisi bir misafirin davetsiz olduğunu düşünüyor.
bpk_51641,Leyla çoğu kitabın çalındığından şüpheleniyor.
bsk_31575,Berke çoğu çatalın kaybolduğundan şüpheleniyor.
bkl_30292,Hülya çoğu öğrencinin sınıfta kaldığından şüpheleniyor.
bcp_94215,Çoğu tatilcinin uçağını kaçırdığından şüpheleniyor Buse.
bts_95916,Çoğu işin yapılmadığından şüpheleniyor Ayla.
ben_14226,Çoğu katılımcının imza atmadığından şüpheleniyor Organizatör.
bgy_92375,bir öğretmen her öğrencinin kopya çektiğinden şüpheleniyor.
bbt_45376,her öğretmen bir öğrencinin kopya çektiğinden şüpheleniyor.
bme_49648,bir polis memuru sorgu odasındaki her adamın hırsız olduğundan şüpheleniyor.
bbv_35716,her polis memuru sorgu odasındaki bir adamın hırsız olduğundan şüpheleniyor.
bdw_50228,bir öğrenci her sınavdan kaldığından şüpheleniyor.
bgk_70869,her öğrenci bir sınavdan kaldığından şüpheleniyor.
bbu_67393,bir kütüphane görevlisi her ziyaretçinin kitap çaldığından şüpheleniyor.
boj_68737,her kütüphane görevlisi bir ziyaretçinin kitap çaldığından şüpheleniyor.
blw_12993,bir güvenlik görevlisi her ziyaretçinin sahte kimlik gösterdiğini düşünüyor.
bah_43824,Her güvenlik görevlisi bir ziyaretçinin sahte kimlik gösterdiğini düşünüyor.
bri_84751,bir öğrenci her öğretmeni aradı.
bwx_48451,bir sekreter her adayı aradı.
bis_49637,bir boyacı her odayı boyadı.
bga_59360,bir bahçıvan her ağacı budadı.
bpu_40534,bir makasla her kumaşı kesti.
bgs_43165,bir çatalla her tatlıyı yedi.
bav_28167,bir personel her ziyaretçiye eşlik etti.
bqh_67555,bir film her izleyiciyi etkiledi.
bst_98747,bir makaleyi her jüri üyesi beğendi.
bdq_95463,bir okulu her öğrenci temsil etti.
bdx_28655,her öğrenciyi bir öğretmen aradı.
bbx_73683,her adayla bir çalışan görüştü.
bec_95934,her arabayı bir çalışan yıkadı.
brv_36502,her odayı bir kadın temizledi.
bpt_13271,her yemeği bir adam yaptı.
bhs_89955,her kitabı bir öğrenci özetledi.
boo_28902,her büyükelçi bir ülkeyi temsil etti.
bpt_19729,her sporcu bir madalya kazandı.
bbb_57527,her kedi bir aşı oldu.
baf_59217,her yazar bir kitap yazdı.
bkj_23331,Milletvekillerinin tamamı iyi okullarda okur.
bfq_96876,"Can, 2040'ta çoğu milletvekilinin emekli olacağını düşünüyor."
bvk_57575,Büyükelçilerin çoğu Fransız liselerinde okur.
bhg_33777,"Fatma, 40 sene sonra bölümdeki profesörlerin neredeyse hepsinin emekli olacağına inanıyor."
bbh_49679,"Filiz, hastahanedeki doktorların 15 sene sonra doktorluk yapmayı bırakacağını düşünüyor."
bbv_43698,Büşra bir pandayı görmek istiyor.
bkd_23770,Fırıncı bir dilim ekmeği kızartmak istiyor.
boo_80755,Pastacı bir kurabiyeyi çikolatayla kaplamak istiyor.
brf_49369,Selin bir kitabı bitirmek istiyor.
bde_49909,Asude bir köpeği sahiplenmek istiyor.
bvb_66681,Büşra bir pandayı görmek istiyor.
bhg_85778,Ayşe'nin sokaktaki bir kediyi beslediğini sanıyor.
bpx_95634,Bu odada birinin sigara içtiğini düşünüyor.
bwt_21065,"Goldilocks, bu evde bir ayının uyuduğunu düşünüyor."
bnt_59912,Bir öğrenci tarafından kopya çekildiğine inanıyor.
btu_77649,Gruptan birinin hasta olduğunu düşünüyor.
bng_62055,Öğretmen sınıfta birinin kopya çektiğini düşünüyor.
bop_36736,"Müdür, departmanda birinin ajan olduğunu düşünüyor."
bfs_86952,Polis bu evde bir hırsız yaşadığından şüpheleniyor.
bpe_25217,"Ajan, bu evde bir muhbir yaşadığını düşünüyor."
bds_22628,"Büşra, bir öğrencinin çok zeki olduğunu düşünüyor."
bda_66355,"Jüri, bir yarışmacının hile yaptığını sanıyor."
blt_30377,Güvenlik görevlileri birinin kapıyı zorladığına inanıyor.
bqm_53912,IT departmanı birinin siteyi hacklemeye çalıştığını düşünüyor.
bpb_73385,Selin odadakilerin dışarıda olduğunu düşünüyor.
bsp_90637,Filiz salondaki misafirlerden birinin balkonda olduğunu sanıyor.
bic_99481,Doktor hastalardan birinin öldüğünü düşünüyor.
bgp_45080,Hisarüstü'ndeki bir binanın yıkılacağını düşünüyor.
bjs_76844,"Futbolcular, hakemlerden birinin rüşvet aldığına inanıyor."
bds_74864,Yoldaşlık'takiler Sihir Bakanlığı'nda bir Ölüm Yiyen olduğunu düşünüyorlar.
boe_78410,Dernekte bir casus olduğundan şüpheleniyorlar.
bat_96247,Dernekte bir casusun olduğundan şüpheleniyorlar.
bcw_92476,Dernekte bir casus olmasından şüpheleniyorlar.
blf_80391,"Selin, banyoda birinin olduğundan şüpheleniyor."
bft_39800,"Ayşe, mutfakta birisinin olduğundan şüpheleniyor."
bil_55635,"Leyla, sınıftakiler dışarıda sanıyor."
bcf_71231,Çağla üst katındaki dairede bir grup öğrencinin oturduğuna inanıyor.
bmi_93277,"Büşra, o yokken odasına birinin girdiğinden şüpheleniyor."
bon_49413,Senin kütüphaneden bir kitap aldığını farz ediyor.
bap_38758,Odadaki herkes dışarıdayken oda boştu.
bzu_33053,Öğrenci ödevini yapar.
bba_29273,anne şefkatli olmalıdır.
bct_69017,çocuğun odası iyi güneş almalıdır.
bdh_63283,"yarışmanın jürisi, deneyimli bir yazarın yazdığı bir hikâyenin ödül kazanacağını düşünüyor."
bsm_55004,"yarışmanın jürisi, deneyimli bir yazarın yazdığı bir hikâyenin ödül kazanacağını düşünüyor."
bra_56232,Ne gam ne keder uğramasın bir arkadaşıma.
bwi_91437,"Ayla, Ceyhun ile mercimeği fırına vermek istiyor."
brv_13836,"Kör istedi bir göz, Allah verdi iki göz."
bvj_99605,Arda'nın dediğine göre bin dost az ama bir düşman çok.
boz_60334,"İsteyenin bir yüzü kara, vermeyenin iki yüzü kara."
bop_33008,Bir gece ansızın yanına gelmek istiyorum.
bnx_98360,Güneş girmeyen bir eve doktor girer.
bwy_74969,"Pazardan aldım bir tane, eve geldim bin tane."
bsc_60360,Bir elin nesi var iki elin sesi var. 
bds_54416,Bir musibet bin nasihatten iyidir.
bpp_37113,Bir bela bin nasihate yeğdir.
bvx_91799,"Bir berber bir berbere ""Gel beraber bir berber dükkanı açalım."" demiş."
bnb_76236,Adam olana bir söz yeter. 
bko_68120,Beş parmak bir olamaz.
bws_35793,Bin bilse de bir bilene danışmak istiyor.
bwj_84061,Terzi diyor ki bin kumaş ölçmeli bir kumaş biçmeli.
brw_81755,Bir başa bir göz yeter.
bon_34338,Anneannem der ki bir ağızdan çıkan bin ağıza yayılır.
big_43739,Bin tasa bir borç ödemez derler. 
bvw_38076,"Bir el bir eli yıkamak, iki el bir yüzü yıkamak ister."
bkq_77788,"Bir söz ara bozar, bir söz ara düzer."
bqr_64188,Bir uyuz keçi bir sürüyü boklar.
buo_11340,Bir sürçen atın başı kesilmez.
bka_20387,Bir tepe yıkılırsa bir dere dolar.
bzg_55783,Bir kötünün yedi mahalleye zararı vardır.
bxf_11104,Bir ipte iki cambaz oynamaz.
bua_36737,Bir çöplükte iki horoz ötmez.
bab_23410,Eskiler der ki bir söz yola getirir bir söz yoldan çıkarır.
bqx_98077,Bir ağaçta gül de biter diken de.
bej_58775,Bir dirhem et bir ayıp örter derler. 
bjh_73556,Bir elin verdiğini öbür elin duymamalı.
btw_42040,Bir dalın gölgesinde bin koyun eğlenir diye bir söz var.
bqv_49129,Bir işe başlamak bitirmenin yarısıdır diye bir atasözü var.
bzi_19554,Bir fincan kahvenin kırk yıl hatırı vardır.
bil_65806,"""Bir ayağı çukurda olmak"" diye bir deyim var."
brq_73494,Cin tutana bir muska yeter.
bqq_69884,Deve büyüktür ama beşini bir eşek çeker.
bma_76060,Deveyi yardan uçuran bir tutam ottur diye bir atasözü var.
bok_46282,"Evden bir ölü çıkmak istiyor demişler, herkes hizmetçinin yüzüne bakmış."
bct_15190,"Evlinin bir evi var, evsizin bin evi var."
bhj_30773,Eşeğin gönlüne kalsa bir bağ maydanozu götürmez.
bni_91970,Her gün gezen kırda bir gün uğrar kurda diye bir atasözü var.
bpt_19264,Her vaktin bir padişahı var.
bmw_60927,Her inişin bir çıkışı var.
bao_51103,Her yiğidin bir yoğurt yiyişi vardır.
bra_20849,Her işte bir hayır vardır.
ber_34845,Her yiğidin gönlünde bir aslan yatar.
byu_24157,Bir kızı bin kişi ister bir kişi alır.
bpc_69045,Meramın elinden bir şey kurtulmaz.
bgu_20578,Ölüsü olan bir gün ağlamak delisi olan her gün ağlamak ister.
yyy_00000,split0
bfc_62096,Şermin'in o eteğin üstüne olmayacağına emin olduğu bir etek var.
boe_19454,"Nino'nun mesleğinde başarılı olmayacağına inandığı hemşire, annesini yarı yolda bırakan hemşire."
bpo_51530,Hiçkimsenin korkutmayı başaramadığı sihirbazın korktuğu bir kaşık var.
bgn_72842,Köroğlu'nun üzerine atlayıp uçsuz bucaksız dağları aşmayı umduğu şey bir at.
bcq_51158,Feride'nin başını çıkarmasından endişelendiği şey bir taşın altına saklanan yılandı.
bkx_38003,Dündar'ın saatlerce kendine gelemeyeceğini sanmasına sebep olan şey bir mektup.
bqa_19391,Vedat'ın denediği bir yemek var ve diğer tüm yemekleri denese bile hiçbirinin o yemeği geçemeyeceğini düşünüyor.
bup_59164,Naciye'nin eteğine konacağını umduğu bir kelebek var.
bhh_96076,Cankat'ın kendisini yaralayacağından korktuğu belli bir piyade yok.
bhf_39486,"Mikaela, belli bir elmanın ağaçtan düşeceğini biliyor."
bem_34642,Yusuf'un dediğine göre herkesin beğenmek zorunda olmadığı işi yapan biri var.
bue_72587,Polisten aldığın evrakları koymanı emrettiğim yer dolabımdaki bir çekmece.
bee_51763,Anıl sessiz bir ortamda çalışmak istiyorsa gitmesi gereken belli bir yer var: Kütüphane. 
blo_27136,Furkan'ın yaptığı bir plan olduğunu düşünüyor musun?
bbk_82587,Beyza müzik kulübüne alınacak bir üyenin olduğunu söyledi.
bfs_95333,Bir antrenman var ve Berk her gün ona katılmalı.
bdq_23452,Şeyma bu sene bir belgeseli çekerse ünlü olacağına inanıyor.
bmt_76654,Can'ın gitmek istediği bir seramik kursu var.
bdr_25789,Burak eski kitaplarla ilgileniyorsa spesifik bir sahafçıya gidebilir. 
biq_84983,İyi tenis oynamak için Hakan'ın alması gereken bir ders var mı?
bki_14552,"Yeşim'in aklında bir gösteri var, eğer davet alırsa katılmayı düşünüyor."
bzu_53219,"Bir iş ortağını bulmak, Arzu'nun inancına göre zor."
boo_80350,Oya'nın söylediğine göre çalmanın onu büyük ihtimalle yoracağı bir müzik aleti var.
bcd_92585,Emre'nin ararsa çok paniklediği bir yanlış numara var.
beu_66399,Bir şans yakalarsa Aysun'un taşınmak istediği yer bir ev.
bft_64811,Bir resim var ki Serra onu yaparsa harika olacağına inanıyor.
bus_42665,Cenk'in baş ağrısı büyük ihtimalle spesifik bir ağrı kesiciyi alırsa geçebilir.
byj_83604,Orkun'un şehir dışında inşa ederse belki mutlu olabileceği şey bir kulübedir.
bua_82578,Yeliz'in bu kıyafet için alabileceği belli bir çanta var. Onu nereden alabilir?
bkk_31818,Özge'nin annesiyle izlemeye söz verdiği şey bir film.
bmh_97044,Lale'nin her hafta okumak istediği şey bir roman.
bxa_60054,Zeynep'in işini çok hızlı halletmesinin koşulu belli bir bilgisaarda çalışması.
bmy_97694,Nermin'in almak istediği bir bardak altlığı var.
bub_62341,Herkes insan kaynaklarına yazabilir eğer almak istedikleri uzun ve sıkıcı bir mektup ise.
btr_43572,Yelda'ya yapılan ışıltılı bir sürpriz var ve onu anlatmak için sabırsızlandığı kişi bir arkadaşı.
bkz_49333,Ferhunde bir tabaktaki yemeği yemek istiyor ve o yemek kısır.
bgf_97526,Cem'in garsonluk yapmak istediği işletme bir restoran.
bel_52295,Tambur çalmayı öğrenmek isteyen öğrencilerin aradığı yetenekli kişinin mesleği öğretmenlik.
bqj_76619,Teleferik kabininden düşen talihsiz gencin acilen gitmesi gereken bir hastane var.
bub_54500,Taksiye binip gideceği yere ulaşmayı başarabilen şaşkın İstanbul sakininin yapmak istediği organizasyon bir kutlamadır.
boh_72036,Madalya verilen öğrencinin kazandığı yarışma bir satranç turnuvasıdır.
bpo_99601,"Zerrin'den yapmasını istedikleri konuşma, kısa bir konuşma."
bdv_89683,"Fatoş'un gülümseyerek teşekkür ettiği yaşlı kadın, kendisine kırmızı ve parlak elmayı veren yaşlı kadın."
bhw_18751,Doruk'un cumartesi gecesini geçirmek istediği bar kalabalık.
bwq_14103,Doktoru bir tahlili yaptırmasının iyi olacağını düşünüyor.
brn_84439,Evlilik hazırlığındaki Esra dans etmeyi deneyimli birinden öğrenecek ve bu kişi bir dansöz.
bfn_34060,"Leyla'nın kurabiye dolgusu yapmak için istediği şey, bir kavanoz böğürtlen marmelatı."
bij_82974,Komite katılımcıların tamamının hile yaptığını düşünüyor.
bok_30522,Hakim tutukluların tamamının suçlu olduğunu düşünüyor.
blt_77968,Buse çiçeklerin tümünün gül olduğunu düşünüyor.
bmg_51532,Lale politikacıların tamamının yalancı olduğunu düşünüyor.
bmy_32173,Polis'in şüphelerine göre tutukluların çoğu gerçekten suçlu. 
bwy_26029,Berke'nin şüphelerine göre öğrencilerin çoğu zeki.
brx_90403,Öğretmen şüpheleniyor ki öğrencilerin çoğu kopya çekti.
bdy_18370,Çoğu güvenlik görevlisine göre misafirlerden belli biri davetsiz.
bqp_75822,Leyla'nın şüphelerine göre kitapların çoğu çalındı.
bcg_84464,Çatalların çoğu kayboldu Berke'nin şüphelerine göre.
bsb_18688,Öğrencilerin çoğu sınıfta kaldı Hülya'nın şüphelerine göre.
brf_58028,Tatilcilerin çoğu uçağını kaçırdı şüphesinde Buse.
bkt_47783,İşlerin çoğunun yapılmadığından şüpheleniyor Ayla.
bji_40372,Katılımcıların çoğunun imza atmadığından şüpheleniyor organizatör.
bkk_24589,Her öğrencinin kopya çektiğinden şüphelenen kişi bir öğretmen.
bas_84702,Her öğretmenin kopya çektiğini düşündüğü şahıs bir öğrenci.
bkp_93166,Sorgu odasındaki her adamın hırsız olduğundan şüphelenen kişinin mesleği polis memurluğu.
bkj_66330,Her polis memuru aynı şüpheyi paylaşıyor: Hırsız sorgu odasındaki adam.
bci_25242,"Her sınavdan kaldığından şüphelenen, belli bir öğrencidir."
bfn_31907,Bir sınav var ki her öğrenci ondan kaldığından şüpheleniyor.
bad_58399,Her ziyaretçinin kitap çaldığından şüphelenen belli bir kütüphane görevlisi var.
bem_46860,Her kütüphane görevlisinin ortak şüphesine göre kitap çalan kişi bir ziyaretçi.
bzk_94450,Her ziyaretçinin sahte kimlik gösterini düşünen kişinin mesleği güvelik görevlisi.
bfx_34863,Her güvenlik görevlisinin ortak kanısına göre belli bir ziyaretçi var sahte kimlik gösteren. 
blh_14455,Her öğretmeni arayan bir öğrenci var.
bqf_36207,Her adayı arayanın görevi sekreterlik.
blf_57401,Her odayı boyayanın mesleği boyacılık.
bbt_44210,Her ağacı aynı bir bahçıvan budadı.
byw_76296,Her kumaşı aynı makasla kesti.
boo_16599,Her tatlıyı aynı çatalla yedi.
bhk_66166,Her ziyaretçiye aynı personel eşlik etti.
bhu_76106,Her izleyiciyi aynı film etkiledi.
bfb_75679,Her jüri üyesi aynı makaleyi beğendi.
bhh_78415,Her öğrenci aynı okulu temsil etti.
bgc_16051,Bir öğretmen öğrencilerin tamamını aradı.
bcf_97082,Bir çalışan adayların tamamıyla görüştü.
bcd_83054,Bir çalışan tüm arabaları yıkadı.
btr_63010,Odaların tamamını bir kadın temizledi.
bcr_46108,Yemeklerin tümünü bir adam yaptı.
bcj_77035,Kitapların tümünü bir öğrenci özetledi.
boz_18806,Büyükelçilerin tümü aynı ülkeyi temsil etti.
bab_24900,Her sporcu aynı madalyayı kazandı.
bpv_37918,Her kedi aynı aşıyı oldu.
bzq_55297,Her yazar tarafından yazılan şey aynı kitap.
bpy_27436,İyi okullarda okuyanların mesleği milletvekilliği.
bfx_13835,Can'ın inancına göre milletvekillerinin çoğu 2040 yılı geldiğinde emekli olmuş olacak.
bgb_12602,Büyükelçilerin çoğu Fransız liselerinde okuyor.
bkm_55943,"Fatma, bölümdeki profesörlerin neredeyse hepsinin 40 sene sonra emekli olmuş olacağına inanıyor."
bem_32589,"Filiz, hastahanedeki doktorların 15 sene sonra doktorluk yapmayı bırakmış olacağını düşünüyor."
btx_70702,Büşra'nın görmek istediği şey bir panda.
bpy_95873,Fırıncının kızartmak istediği şey bir ekmek.
bsd_33880,Pastacının çikolatayla kaplamak istediği şey bir kurabiye.
bma_16801,Bir kitap Selin'in bitirmek istediği.
bfx_19194,Bir köpek Asude'nin sahiplenmek istediği.
bfm_18615,Bir panda Büşra'nın görmek istediği.
bda_10342,Ayşe'nin beslediğinin sokaktaki bir kedi olduğunu sanıyor.
bgi_47486,Bu odada sigara içtiğini düşündüğü bir kişi var.
bez_91655,Goldilocks'a göre bu evde uyuyan bir ayı.
bhj_40741,Belli bir öğrenci tarafından kopya çekildiğine inanılıyor.
bcl_58351,Hasta olan kişinin gruptan olduğunu düşünüyor.
bry_93759,Öğretmen'in düşüncesine göre kopya çeken belli biri var sınıfta. 
bkl_98413,Müdürün düşüncesine göre departmanda belli biri ajan.
bdb_24090,Polisin bu evde yaşadığından şüphelendiği kişi bir hırsız.
bnk_26903,Ajanın bu evde yaşadığını düşündüğü kişi bir muhbir.
bxq_79963,Büşra'nın çok zeki olduğunu düşündüğü kişi bir öğrenci.
bsz_73006,Jürinin hile yaptığını düşündüğü kişi bir yarışmacı.
beu_35775,Güvenlik görevleri kapıyı belli birinin zorladığına inanıyor. 
bwt_82745,IT departmanına göre siteyi hacklemeye çalışan belli biri var.
brj_75563,Selin şu an odada olan kişilerin dışarıda olduğunu düşünüyor.
bwi_55595,Filiz'in balkonda olduğunu düşündüğü kişi salondaki misafirlerden biri.
bna_86067,Doktor'un öldüğünü düşündüğü kişi bir hasta.
bif_43566,Yıkılacağını düşündüğü bina Hisarüstü'nde.
bbu_78612,Futbolcuların inancına göre rüşvet alan kişi bir hakem.
bpk_40157,Yoldaşlık'takiler Sihir Bakanlığı'ndaki spesifik bir kişinin Ölüm Yiyen olduğunu düşünüyor.
bpx_42793,Dernekteki belli bir kişinin casus olduğundan şüpheleniyorlar.
bxf_97607,Dernekteki belli bir kişinin casus olduğundan şüpheleniyorlar.
bjd_78091,Dernekteki belli bir kişinin casus olduğundan şüpheleniyorlar.
bys_25114,Selin'in şüphelerine göre banyoda belli bir kişi var.
bhv_38021,Ayşe'nin şüphesine göre mutfakta spesifik bir kişi var.
blb_17121,Leyla şu anda sınıfta olan kişileri dışarıda sanıyor.
bec_53488,Çağla'nın üst katında oturduğuna inandığı belli bir öğrenci grubu var.
bgk_11236,Büşra o yokken odasına giren belli biri olduğundan şüpheleniyor.
bsn_55369,Senin kütüphaneden aldığını farz ettiği şey bir kitap.
brf_12179,Şu an odada olan herkes dışarıdayken oda boştu.
bdd_25858,"Hakkında ""Ödevini yapar."" denen kişi bir öğrenci."
bxh_39590,Şefkatli olması gerektiği düşünülen şahıs bir anne.
bez_11138,İyi güneş alması gereken oda çocuğa ait.
bnm_43451,Yarışmanın jürisi deneyimli yazar tarafından yazılan bir hikayenin ödül kazanacağını düşünüyor.
bdn_53484,Yarışmanın jürisi ödül kazananın deneyimli bir yazar tarafından yazılan hikaye olacağını düşünüyor.
bvf_89432,Bir arkadaşım ki ona ne gam ne keder uğramasın.
bqi_72697,Ayla'nın Ceyhun ile fırına vermek istediği şey bir mercimek.
bvs_76328,"Kör'ün istediği bir göz vardı, Allah iki göz verdi."
bbf_91664,Arda'nın dediğine göre az olan bin dost ama çok olan bir düşman.
buz_35062,"İsteyenin belli bir yüzü kara, vermeyenin ise iki yüzü kara."
bsg_77205,"Ansızın yanına gelmek istediğim zaman, belli bir gece. "
blr_55429,"Güneş girmeyen bir ev var, oraya doktor girer."
bcj_24813,"Pazardan aldığım şey bir tane, eve geldiğimde olan bin tane."
bul_57866,"Nesi olan şey bir el, sesi olan ise iki el."
bfb_82293,"Bin nasihatten iyi olan, bir musibet."
bbh_29009,Bin nasihate yeğ olan şey bir bela.
bwy_60282,Bir berberin bir berbere açmayı teklif ettiği dükkan bir berber dükkanı.
bit_97917,Adam olana yetecek olan bir sözdür.
bpm_28114,Beş parmağın olamayacağı şey birdir.
boe_83928,Bin bilse de danışmak istediği bir kişi var: Bir bilen.
bbs_18046,"Terzinin dediğine göre ölçülecek kumaş sayısı bin, biçilecek kumaş sayısı bir. "
brl_48397,Bir başa yetecek olan bir göz var.
bdo_86579,Anneannemin dediğine göre bin ağıza yayılan şeyin çıktığı belli bir ağız vardır.
bzq_43988,Bin tasanın ödeyemeyeceği şeyin bir borç olduğunu söylerler.
bss_49102,"Bir elin yıkamak istediği şey bir el, iki elin yıkamak istediği şey ise bir yüz."
bjw_60224,"Ara bozan şey bir söz, ara düzen şey de bir söz."
bwm_93450,Bir uyuz keçinin bokladığı şey bir sürüdür.
bhj_51496,Bir kere sürçen atın başı kesilmez.
bzd_75588,Bir dere ancak yıkılan şey tepeyse dolar.
bmu_12758,Yedi mahalleye zararı olan kişi kötüdür.
bmi_71656,İki cambazın oynayamayacağı bir ip.
bwf_52617,İki horozun ötemeyeceği yer çöplük.
bsl_68857,Eskiler der ki yola getiren şey de yoldan çıkaran şey de sözdür.
bjl_58706,Hem gülün hem de dikenin bittiği bitki ağaçtır.
bla_62190,Dedikleri üzere bir dirhem etin örttüğü şey ayıptır.
bad_52587,Öbür elin duymaması gerekeni veren de el.
bnl_25771,Gölgesinde bin koyun eğlendiren şey bir dal diye bir söz var.
beb_69470,Bir atasözü diyor ki başlamanın bitirmenin yarısı olduğu şey bir iş.
bbr_81880,Kırk yıl hatırı olan içecek bir fincan kahve.
bdo_95504,Bir deyim var ve çukurdaki ayaktan bahsediyor.
bjm_93442,Cin tutan kişiye yetecek şey bir muska.
beo_24643,Devenin büyük olmasına rağmen beş tanesini çeken hayvan bir eşek.
bzw_80343,Bir atasözüne göre deveyi yardan uçuran bitki bir tutam ottur.
bjd_76351,Evden çıkmak isteyen şahsın bir ölü olduğu söylenince herkesin baktığı yer hizmetçinin yüzü olmuş.
bhn_14514,"Evlinin bir tanesine, evsizin bin tanesine sahip olduğu şey ev."
bwi_29191,Eşek dilediği gibi davranırsa götürmeyeceği bir bağ maydanozdur.
bms_28621,Atasözüne göre her gün kırda gezenler aynı kurt ile karşılaşır.
bzz_70243,Bir padişah var ve o her vakte uygun.
bdi_99405,Her iniş aynı çıkışa sahip.
brn_53627,Her yiğit aynı yoğurt yiyişe sahip.
but_66215,Her işte olan şey aynı hayırdır.
bup_33143,Bir aslan var ve her yiğidin gönlünde bulunuyor.
bfp_61532,"Bin kişinin istediği kız aynı, o kızı da bir kişi alır."
bpj_51482,Meramın elinden kurtulmayacak olan şey bir tanedir.
bcq_68941,Ölüsü olanların ağlamak istediği belli bir gün var ama delisi olanlar her gün ağlamak istiyor.
yyy_00001,split1
byx_92891,Şermin o gömleğin üstüne herhangi bir eteğin olmayacağından emindi.
bhb_25285,Nino inanmıştı ki annesini yarı yolda bırakan hiçbir hemşire mesleğinde başarılı olamaz.
