Sent_id,Ambiguous Sentence
bcn_52861,Arzu bir iş ortağı bulmanın zor olduğuna inanıyor.
bhk_26069,Oya bir müzik aleti çalmanın büyük ihtimalle onu zorlayacağını söylüyor.
byz_59170,Yanlış bir numarayı ararsa Emre çok panikler.
bdu_60155,Bir şans yakalarsa ilk fırsatta Aysun yeni bir eve taşınmak istiyor.
bcz_94778,Semra bir resim yaparsa harika olacağına inanıyor.
bmh_76393,Cenk bir ağrı kesici alırsa büyük ihtimalle baş ağrısı geçebilir.
bzk_68836,Orkun belki şehir dışında bir kulübe inşa ederse mutlu olabilir.
bvg_49553,Yeliz bu kıyafet için nereden bir çanta almalı?
blv_59597,Özge annesiyle bir film izlemeye söz verdi.
boz_73368,Lale her hafta bir roman okumak istiyor.
btu_74063,Zeynep bir bilgisayarda çalışırsa işini çok hızlı halleder.
bxg_33592,Nermin bir bardak altlığı almak istiyor.
bmt_86643,Uzun ve sıkıcı bir mektup almak isteyen herkes insan kaynaklarına yazabilir.
bhe_93384,Yelda kendisine yapılan ışıltılı sürprizi bir arkadaşına anlatmak için sabırsızlanıyor.
bmi_99544,Ferhunde bir tabak kısır yemek istiyor.
bhl_87611,Cem bir kafede garsonluk yapmak istiyor.
bmz_86138,Tambur çalmayı öğrenmek isteyen öğrenciler yetenekli bir öğretmen arıyor.
bxf_79384,Teleferik kabininden düşen talihsiz gencin acilen bir hastaneye gitmesi gerekiyor.
btg_70143,Taksiye binip gideceği yere ulaşmayı başarabilen şaşkın İstanbul sakini bir kutlama yapmak istiyor.
bbb_82849,Bir satranç turnuvası kazanan öğrenciye madalya verildi.
bjf_26443,Zerrin'den kısa bir konuşma yapmasını istediler.
bcv_67636,Fatoş kendisine kırmızı ve parlak bir elma veren yaşlı kadına gülümseyerek teşekkür etti.
bvt_45633,Cumartesi gecesini kalabalık bir barda geçirmek istiyordu Doruk.
bte_77387,Doktoru bir tahlil yaptırmasının iyi olacağını düşünüyor.
bli_23702,Evlilik hazırlığındaki Esra dans etmeyi deneyimli bir dansözden öğrenmek istiyor.
bpq_63749,Leyla kurabiye dolgusu yapmak için bir kavanoz böğürtlen marmelatı istiyor.
bzm_96874,Komite her katılımcının hile yaptığını düşünüyor.
bpx_75201,Hakim her tutuklunun suçlu olduğunu düşünüyor.
bll_96797,Buse her çiçeğin gül olduğunu düşünüyor.
bef_47489,Lale çoğu politikacının yalancı olduğunu düşünüyor.
bin_91612,Polis çoğu tutuklunun gerçekten suçlu olduğundan şüpheleniyor.
bgq_55561,Berke çoğu öğrencinin çok zeki olduğundan şüpheleniyor.
bae_43693,Öğretmen çoğu öğrencinin kopya çektiğinden şüpheleniyor.
bjp_34925,çoğu güvenlik görevlisi bir misafirin davetsiz olduğunu düşünüyor.
bpk_51641,Leyla çoğu kitabın çalındığından şüpheleniyor.
bsk_31575,Berke çoğu çatalın kaybolduğundan şüpheleniyor.
bkl_30292,Hülya çoğu öğrencinin sınıfta kaldığından şüpheleniyor.
bcp_94215,Çoğu tatilcinin uçağını kaçırdığından şüpheleniyor Buse.
bts_95916,Çoğu işin yapılmadığından şüpheleniyor Ayla.
ben_14226,Çoğu katılımcının imza atmadığından şüpheleniyor Organizatör.
bgy_92375,bir öğretmen her öğrencinin kopya çektiğinden şüpheleniyor.
bbt_45376,her öğretmen bir öğrencinin kopya çektiğinden şüpheleniyor.
bme_49648,bir polis memuru sorgu odasındaki her adamın hırsız olduğundan şüpheleniyor.
bbv_35716,her polis memuru sorgu odasındaki bir adamın hırsız olduğundan şüpheleniyor.
bdw_50228,bir öğrenci her sınavdan kaldığından şüpheleniyor.
bgk_70869,her öğrenci bir sınavdan kaldığından şüpheleniyor.
bbu_67393,bir kütüphane görevlisi her ziyaretçinin kitap çaldığından şüpheleniyor.
boj_68737,her kütüphane görevlisi bir ziyaretçinin kitap çaldığından şüpheleniyor.
blw_12993,bir güvenlik görevlisi her ziyaretçinin sahte kimlik gösterdiğini düşünüyor.
bah_43824,Her güvenlik görevlisi bir ziyaretçinin sahte kimlik gösterdiğini düşünüyor.
bri_84751,bir öğrenci her öğretmeni aradı.
bwx_48451,bir sekreter her adayı aradı.
bis_49637,bir boyacı her odayı boyadı.
bga_59360,bir bahçıvan her ağacı budadı.
bpu_40534,bir makasla her kumaşı kesti.
bgs_43165,bir çatalla her tatlıyı yedi.
bav_28167,bir personel her ziyaretçiye eşlik etti.
bqh_67555,bir film her izleyiciyi etkiledi.
bst_98747,bir makaleyi her jüri üyesi beğendi.
bdq_95463,bir okulu her öğrenci temsil etti.
bdx_28655,her öğrenciyi bir öğretmen aradı.
bbx_73683,her adayla bir çalışan görüştü.
bec_95934,her arabayı bir çalışan yıkadı.
brv_36502,her odayı bir kadın temizledi.
bpt_13271,her yemeği bir adam yaptı.
bhs_89955,her kitabı bir öğrenci özetledi.
boo_28902,her büyükelçi bir ülkeyi temsil etti.
bpt_19729,her sporcu bir madalya kazandı.
bbb_57527,her kedi bir aşı oldu.
baf_59217,her yazar bir kitap yazdı.
bkj_23331,Milletvekillerinin tamamı iyi okullarda okur.
bfq_96876,"Can, 2040'ta çoğu milletvekilinin emekli olacağını düşünüyor."
bvk_57575,Büyükelçilerin çoğu Fransız liselerinde okur.
bhg_33777,"Fatma, 40 sene sonra bölümdeki profesörlerin neredeyse hepsinin emekli olacağına inanıyor."
bbh_49679,"Filiz, hastahanedeki doktorların 15 sene sonra doktorluk yapmayı bırakacağını düşünüyor."
bbv_43698,Büşra bir pandayı görmek istiyor.
bkd_23770,Fırıncı bir dilim ekmeği kızartmak istiyor.
boo_80755,Pastacı bir kurabiyeyi çikolatayla kaplamak istiyor.
brf_49369,Selin bir kitabı bitirmek istiyor.
bde_49909,Asude bir köpeği sahiplenmek istiyor.
bvb_66681,Büşra bir pandayı görmek istiyor.
bhg_85778,Ayşe'nin sokaktaki bir kediyi beslediğini sanıyor.
bpx_95634,Bu odada birinin sigara içtiğini düşünüyor.
bwt_21065,"Goldilocks, bu evde bir ayının uyuduğunu düşünüyor."
bnt_59912,Bir öğrenci tarafından kopya çekildiğine inanıyor.
btu_77649,Gruptan birinin hasta olduğunu düşünüyor.
bng_62055,Öğretmen sınıfta birinin kopya çektiğini düşünüyor.
bop_36736,"Müdür, departmanda birinin ajan olduğunu düşünüyor."
bfs_86952,Polis bu evde bir hırsız yaşadığından şüpheleniyor.
bpe_25217,"Ajan, bu evde bir muhbir yaşadığını düşünüyor."
bds_22628,"Büşra, bir öğrencinin çok zeki olduğunu düşünüyor."
bda_66355,"Jüri, bir yarışmacının hile yaptığını sanıyor."
blt_30377,Güvenlik görevlileri birinin kapıyı zorladığına inanıyor.
bqm_53912,IT departmanı birinin siteyi hacklemeye çalıştığını düşünüyor.
bpb_73385,Selin odadakilerin dışarıda olduğunu düşünüyor.
bsp_90637,Filiz salondaki misafirlerden birinin balkonda olduğunu sanıyor.
bic_99481,Doktor hastalardan birinin öldüğünü düşünüyor.
bgp_45080,Hisarüstü'ndeki bir binanın yıkılacağını düşünüyor.
bjs_76844,"Futbolcular, hakemlerden birinin rüşvet aldığına inanıyor."
bds_74864,Yoldaşlık'takiler Sihir Bakanlığı'nda bir Ölüm Yiyen olduğunu düşünüyorlar.
boe_78410,Dernekte bir casus olduğundan şüpheleniyorlar.
bat_96247,Dernekte bir casusun olduğundan şüpheleniyorlar.
bcw_92476,Dernekte bir casus olmasından şüpheleniyorlar.
blf_80391,"Selin, banyoda birinin olduğundan şüpheleniyor."
bft_39800,"Ayşe, mutfakta birisinin olduğundan şüpheleniyor."
bil_55635,"Leyla, sınıftakiler dışarıda sanıyor."
bcf_71231,Çağla üst katındaki dairede bir grup öğrencinin oturduğuna inanıyor.
bmi_93277,"Büşra, o yokken odasına birinin girdiğinden şüpheleniyor."
bon_49413,Senin kütüphaneden bir kitap aldığını farz ediyor.
bap_38758,Odadaki herkes dışarıdayken oda boştu.
bzu_33053,Öğrenci ödevini yapar.
bba_29273,anne şefkatli olmalıdır.
bct_69017,çocuğun odası iyi güneş almalıdır.
bdh_63283,"yarışmanın jürisi, deneyimli bir yazarın yazdığı bir hikâyenin ödül kazanacağını düşünüyor."
bsm_55004,"yarışmanın jürisi, deneyimli bir yazarın yazdığı bir hikâyenin ödül kazanacağını düşünüyor."
bra_56232,Ne gam ne keder uğramasın bir arkadaşıma.
bwi_91437,"Ayla, Ceyhun ile mercimeği fırına vermek istiyor."
brv_13836,"Kör istedi bir göz, Allah verdi iki göz."
bvj_99605,Arda'nın dediğine göre bin dost az ama bir düşman çok.
boz_60334,"İsteyenin bir yüzü kara, vermeyenin iki yüzü kara."
bop_33008,Bir gece ansızın yanına gelmek istiyorum.
bnx_98360,Güneş girmeyen bir eve doktor girer.
bwy_74969,"Pazardan aldım bir tane, eve geldim bin tane."
bsc_60360,Bir elin nesi var iki elin sesi var. 
bds_54416,Bir musibet bin nasihatten iyidir.
bpp_37113,Bir bela bin nasihate yeğdir.
bvx_91799,"Bir berber bir berbere ""Gel beraber bir berber dükkanı açalım."" demiş."
bnb_76236,Adam olana bir söz yeter. 
bko_68120,Beş parmak bir olamaz.
bws_35793,Bin bilse de bir bilene danışmak istiyor.
bwj_84061,Terzi diyor ki bin kumaş ölçmeli bir kumaş biçmeli.
brw_81755,Bir başa bir göz yeter.
bon_34338,Anneannem der ki bir ağızdan çıkan bin ağıza yayılır.
big_43739,Bin tasa bir borç ödemez derler. 
bvw_38076,"Bir el bir eli yıkamak, iki el bir yüzü yıkamak ister."
bkq_77788,"Bir söz ara bozar, bir söz ara düzer."
bqr_64188,Bir uyuz keçi bir sürüyü boklar.
buo_11340,Bir sürçen atın başı kesilmez.
bka_20387,Bir tepe yıkılırsa bir dere dolar.
bzg_55783,Bir kötünün yedi mahalleye zararı vardır.
bxf_11104,Bir ipte iki cambaz oynamaz.
bua_36737,Bir çöplükte iki horoz ötmez.
bab_23410,Eskiler der ki bir söz yola getirir bir söz yoldan çıkarır.
bqx_98077,Bir ağaçta gül de biter diken de.
bej_58775,Bir dirhem et bir ayıp örter derler. 
bjh_73556,Bir elin verdiğini öbür elin duymamalı.
btw_42040,Bir dalın gölgesinde bin koyun eğlenir diye bir söz var.
bqv_49129,Bir işe başlamak bitirmenin yarısıdır diye bir atasözü var.
bzi_19554,Bir fincan kahvenin kırk yıl hatırı vardır.
bil_65806,"""Bir ayağı çukurda olmak"" diye bir deyim var."
brq_73494,Cin tutana bir muska yeter.
bqq_69884,Deve büyüktür ama beşini bir eşek çeker.
bma_76060,Deveyi yardan uçuran bir tutam ottur diye bir atasözü var.
bok_46282,"Evden bir ölü çıkmak istiyor demişler, herkes hizmetçinin yüzüne bakmış."
bct_15190,"Evlinin bir evi var, evsizin bin evi var."
bhj_30773,Eşeğin gönlüne kalsa bir bağ maydanozu götürmez.
bni_91970,Her gün gezen kırda bir gün uğrar kurda diye bir atasözü var.
bpt_19264,Her vaktin bir padişahı var.
bmw_60927,Her inişin bir çıkışı var.
bao_51103,Her yiğidin bir yoğurt yiyişi vardır.
bra_20849,Her işte bir hayır vardır.
ber_34845,Her yiğidin gönlünde bir aslan yatar.
byu_24157,Bir kızı bin kişi ister bir kişi alır.
bpc_69045,Meramın elinden bir şey kurtulmaz.
bgu_20578,Ölüsü olan bir gün ağlamak delisi olan her gün ağlamak ister.
cnh_46385,Benzersiz bir hayata sahip olmayı düşler her insan.
cjl_93407,Hakim buradaki gibi bir davaya bakmak istiyor.
cxb_53439,Kamil istiyor bir kanepede uyumak.
chq_83944,Leman o gece bir kaşif ile tanışmayı arzuluyormuş.
ctt_65537,Büşra kütüphaneden bir kitap ödünç almak istiyordu.
cso_26586,Bir köyden ev almak istiyor Gülsüm.
cwz_43220,Filiz geçen sene bir yazlık almak istiyordu.
cmp_80775,Hüseyin bir uzmanla fikir alışverişi yapmak istiyor.
czx_10919,Teoman başka bir sanatçı ile düet yapmak istiyor.
cvk_75865,Başka bir yetenekli yarışmacıyı değerlendirmek istiyor Zerrin.
cjh_20467,Öğrencilerden biri bir sunum yapmak istiyormuş.
cly_98612,Başka bir marketten meyve almak istiyor Hülya.
cec_10119,Nazım istiyordu ki bir daha bir deniz kızının şarkısı yarıda kalmasın.
cnc_25461,Mercan bir yaşlıdan tavsiye almak istiyor.
cef_41685,Filiz güzel bir arabayı almak istiyor.
ccy_38957,Suat bir doktora görünmek istiyor.
cok_24050,dün Leyla salonun duvarına bir tablo asmak istiyordu.
cvf_20248,Büşra mağazadan bir elbise almak istiyordu.
cfo_86173,Anıl eski bir bisiklet almayı planlıyormuş.
ceb_32096,Doğanay sevgilisini bir gece treninde yakalayabileceğini umuyor.
cmc_38584,Konuşkan biriyle hasbihal etmek istiyor Nazan.
cvh_24535,Gaye bir sınavdan yüksek puan almak istiyor.
cjo_13092,İmge istiyor başka bir konuda konuşmak.
cgl_12312,Özlem başka bir yazı yazmak istiyor.
cff_94696,uzun boylu öğrenci zor bir soru sormak istiyormuş.
cdq_88896,Buse uzun zamandır buraya bir avize almak istiyordu.
cfo_86845,Handan her sabah hayatını değiştirecek bir insanla tanışmayı diliyor.
cac_38213,Bunun gibi bir adama hayran olmak istiyor Beren.
cbd_66681,Gülsüm en kısa zamanda bir doktor görmek istiyormuş.
cdb_24274,izmir'deki gibi bir sahilde güneşlenmek istiyor Selin.
cma_74820,İlke uzun bir kitabı bitirmek istiyor.
cgw_11624,Reyhan bir kurabiyeden ısırık almak istiyor.
cqj_55290,bir misafirin pencereyi açık bıraktığını düşünüyor Asude.
cvn_83689,zeynep'inki gibi bir makaleden bahsetmek istiyor Ayla.
cnd_84283,sınıftaki kız bir kitap almak istiyormuş.
ccn_33233,Beyza rahat bir yatakta uyumak istiyor.
chn_62643,Talha bir ziyaretçinin kilidi kırdığını düşünüyor.
cgl_98477,Olcay istiyor başka bir arabada seyahat etmek.
czz_36231,Bir ateş almak için demirciye uğrayamayacağından korkuyordu Uve.
cds_11645,Evren ablası gibi bir astronot olmayı arzu ediyor.
cvk_68217,komşunun oğlu bir tamirci öpmek istiyormuş.
cws_76692,Akıllı bir insan varını yoğunu satıp savıp yeni bir maceraya yelken açmaz.
cck_63638,Helin başka bir denizden balık tutmak istiyor.
cvy_22223,Ayşe bahçede bir köpek beslemek istiyordu.
cqh_90118,Çolpan onunla aynı mesleği yapanların çoğunun hayattan keyif alamadığından şüpheleniyor.
cmv_95673,Berke istiyor başka bir dosyayla ilgilenmek.
cyk_11837,Mutfağa bir sandalye koymak istiyordu.
cps_49576,Atacan bir uzmandan görüş almak istiyor.
cpq_69872,Bir halıya süt dökmenin geri dönülmez bir hata olmadığını düşünecekti Mırnav.
cxe_11357,Benim gibi bir öğrenciyle görüşmek istiyor Fikriye.
cfw_73324,Orkun başka bir kravat takmak istiyor.
cpf_97428,Itır odadan kaçabilmek için gizli bir geçidi bulmalıydı.
clq_46091,Geçen ay Büşra balkonunda bir kedi beslemek istiyordu.
csc_53638,arkadaşına özel bir hediye almak istiyormuş.
cjy_58288,Bir çiçeğe su vermek istiyor küçük çocuk.
cnk_83597,"Leyla, ayşe'ninki gibi kırmızı bir araba almak istiyor."
cud_98475,Zor bir bölümü geçmek istiyor Mehmet.
cwq_92047,seninki gibi bir elbiseyi giymek istiyor Ilgın.
cmf_45030,Leyla bahçedeki gibi bir arabayla gezmek istiyor.
cmw_92409,Hülagü karayipler'deki gibi bir restoranda yemek yemek istiyor.
cls_25105,Melike etkileyici bir şiir okumak istiyormuş arkadaşına.
cbu_99836,Erkan istiyor bir apartmanda yaşamak.
cyw_50200,Lale bir panda görmek istiyormuş.
cqu_58779,Ayşe gibi bir gazeteciye röportaj vermek istiyor şarkıcı.
clv_32659,Buket benimki gibi bir bilgisayarla çalışmak istiyor.
cuc_96218,Bir ağaçtan meyve toplamak istiyor Tahsin.
cvu_46898,Komşunun kızı bir tesisatçı öpmek istiyormuş.
can_37333,Başka bir kadınla öpüşmek istiyor Nuran.
cxo_67379,başkanınki gibi bir makam arabasını sürmek istiyor Şoför.
cjs_54659,Bir uzmana danışmak istiyor Yaren.
cze_71710,Urla'daki gibi bir organik pazardan alışveriş yapmak istiyor Bensu.
cfn_72191,Gözde bir çiçeği sulamak istiyor.
chs_82219,Bener bir öğretmene soru sormak istiyor.
czk_29640,Ajda bir pop şarkısı çıkarmayı düşünüyor.
cpu_69013,başka bir salonda dinlenmek istiyor Yağız.
cvq_37878,Feriha bir ayakkabıyı almak istiyormuş.
cqr_53747,Şeyma sessiz bir odada çalışmak istiyor.
czd_33017,Haydar'ınki gibi bir şirketten ayrılmak istiyor Cüneyt.
cbn_86084,komşununki gibi canlı renkli kıyafetleri yıkamak istiyor Yasemin.
cdc_87596,Nusret iki aydır bir köfte yapmak istiyormuş.
ctg_97307,Dedem gazetedeki bir haberi okumam gerektiğini söyledi.
cqt_78203,Hilal bir boksörle kavga etmek istiyor.
cfa_57057,Ege istiyor başka bir okula gitmek.
csy_76135,Duyulamayan sesleri bir gazete aracılığıyla herkese duyurmayı arzuluyordu Menekşe.
col_85192,"Ayşe, bir çocuk evlat edinmek istiyordu."
cfh_18384,Günseli bir tesisatçıya aşık olmak istiyor.
cel_76121,Başka bir araba tamir etmek istiyor Remzi.
cft_43360,arkadaşımınki gibi bir araba almak istiyorum.
cwq_25425,Helen bir mercimek çorbasının tadının başka hiçbir yemekte bulunmayacağına kanaat getirdi.
clz_95663,Asude hikmet gibi bir tesisatçıyla öpüşmek istiyor.
cxm_26111,Yaren alışveriş merkezindeki gibi bir sinemada film izlemek istiyor.
clu_75186,Hilmi istiyor başka bir işle uğraşmak.
cwh_66241,Selim bir kamyonet almak istiyordu.
cjh_39970,başka bir şehirden ev almak istiyor Yaren.
csy_90906,öğrenci bir soru sormak istiyormuş.
