Sent_id,Ambiguous Sentence
aru_81480,Gülsüm'ün almak istediği yazlık deniz görüyormuş.
ari_38856,Şuradaki gibi olan bir ev almak istediğim.
atc_98716,Yiğit'in bastırmak istediği başka bir fotoğraf var.
any_89291,Bener'in yer almak istediği fotoğraf buradaki gibi.
aqk_49028,Ona yardımcı olur diye okumasını önerdiğim şey bir kitap.
ach_76410,Hakan'ın uğramak istediği bir arkadaşı var.
aaf_58531,Batu'nun alıntı yapmak istediği kitap Buğra'nınki gibi.
azv_41030,Filiz'in almak istediği araba kırmızı.
atl_44800,Kenan'ın yola çıkmak istediği şoför yorgun.
ame_93366,Aklındaki arabayı kardeşim para biriktirdikten sonra almak istiyor.
azn_60445,Abraham akşam için pişirilen kurabiyenin kaç derecede pişirildiğini bilmiyordu.
auu_99669,Annemler'in tatilde kiralamak istediği bir yat var.
ans_51552,Süheyla'nın yemek istediği tatlı restoranda servis ediliyor.
ako_22126,Leyla'nın konuşmak istediği konu şu an konuşulan konudan farklı.
amk_47516,Her katılımcının oturmak gerektiğini düşündüğü masa aynı.
aee_79304,Uygar'ın dövüşmek istediği adam başka.
aml_64781,Pelin'in kırmak istediği bir bardak var.
aql_39346,Özlem'in bu soruyu çözebileceğini düşündüğü kişi bir öğrenci.
avb_19348,Eda'nın kahvaltıda yerse hemen acıkacağı şey sadece yumurta.
abd_43807,Oğuz'un okulu bırakıp girmek istediği belli bir iş var.
alc_13417,Selin'in davet etmeyi düşündüğü bir arkadaşı var.
aro_31774,Şeyma'nın en kısa zamanda öpmek istediği kişi kızıl saçlı bir kız.
aag_67930,Gaddar adamın sökmeyi arzuladığı belli bir fidan vardı.
axq_34473,Yaren'in grupta olduğunu düşündüğü bir ajan var.
apl_42219,Büşra'nın ondan hoşlandığını düşündüğü bir arkadaşı var.
aak_65571,En yakın arkadaşımın almak istediği belli bir arabayı en kısa zamanda almak.
aae_51073,Barış'ın yoğun olan haftasonundan sonra istediği dinlenmek.
all_78903,Mehmet'in çalışmak istediği mühendis onun gibi.
aji_85671,Canan'ın mezun olmak istediği okul başka.
abo_89968,Özel bir ev var Güzide'nin almak istediği bundan başka.
aos_35436,Aysu'nun uyumak istediği hamak şunun gibi.
aqo_70553,Ozan'ın okuduğu bölümü bırakıp geçmeyi planladığı başka bir bölüm var.
amo_17736,Zülfikar'ın görüşmek istediği uzman başka.
aen_83509,Hilal'in okumak istediği başka bir okul var.
avx_87396,Züleyha'nın röportaj yapmak istediği oyuncu yıldız gibi.
aqs_31060,Banu'nun almak istediği ev Lale'ninki gibi.
aqi_66973,Astrid'in misafirlerinin eve gelirken getirip getirmeyeceklerinden şüpheli olduğu bir hediye vardı.
ait_58671,Selin'in almak istediği çanta Büşra'nınki gibi.
asi_23493,Aysu'nunki gibi bir şirket Gülin'in çalışmak istediği.
aqe_23513,Bilirdi herkesin ödeyebileceği fiyatlar belirlemesi gerektiğini sağduyu sahibi olan satıcı.
afy_18250,Bir ev var Deniz'in taşınmak istediği bundan başka.
ash_14448,Eren'in silmek istediği başka bir üzücü anı var.
anz_62814,Turan'ın işletmek istediği dükkan bizim dükkan gibi.
aia_45556,Jülide'nin okumak istediği başka bir kitap var.
ahw_57698,Kimiler'nin tüm odunları keseceğine inanmış olduğu bir oduncu var.
avo_46101,Leyla'nın göz atmak istiyor olduğu bir soru var.
asv_48544,Başka bir konu var Janset'in bahsetmek istiyor olduğu.
atg_37463,O kızın kazanınca kendini kanıtlayacağını sandığı bir yarış var.
ach_39019,Ayla'nın içmek isterse bana uğrayacağı belli bir çeşit kahve var.
anr_77677,Bremen'deki mızıkacı'nın kaç lira olduğundan bile habersiz olduğu bir mızıka var.
abd_73960,Sunay'ın onu götürmek istediği bir park var köpeğini yürütmek için.
ano_38074,Kübra'nın binmek istediği tren bundan başka.
aro_52390,Kurumi'nin satın almayı planlıyor olduğu kimono önceden anlaştığı belli bir dükkandan.
anc_90225,Selin'in değiştirmek istediği koltuk evdeki gibi.
aqu_98129,Olgun bir limon Gülay'ın dalından koparmak istediği.
awm_87297,Büşra'nın yaşamak istediği ülke başka.
anh_43728,Bir başka şarap var Pelin'in içmek istediği.
avj_23752,Gizem'in evlenmek istediği salon görkemli.
ajo_37102,Arkadaşım'ın yazılarını göndereceği bir dergi var.
avj_46583,Ne yapabilir Berrin belli bir yangın çıkarsa?
aqy_83166,Jale'nin gitmek istediği Paris'tekiler gibi olan bir müze var.
ank_94897,Buse'nin ders çalışırken dinlemek için açmak istediği bir şarkı var.
aoh_52115,Cansu'nun almayı istediği dergi buradakiler gibi.
akp_67683,Yetkin bir aday Remziye'nin mülakat yapmak istediği.
ade_84306,Halime'nin giymek istediği başka bir elbise.
axx_26176,Cüneyt'in yemek istediği başka bir pasta var.
apl_70954,Enes'in olmadığını iddia ettiği şey bir hata.
aoi_79843,Benimki gibi Şule'nin almak istediği çanta.
auz_44373,Muharrem'in alışveris yapmak istediği yer bir market.
axq_84745,Gitmek istediğim plaj İspanya'dakiler gibi.
aly_62343,Yaprak'ın aşık olmak istediği başka bir adam.
awx_81810,3A sınıfından Emre'nin ezberlemek istediği babasıyla okuyabileceği bir şiirdi.
akh_36889,Tijen'in yemek istiyor olduğu tatlı restorandaki gibi.
aeb_84014,Hilal'in olmasını istediği sevgili benimki gibi.
ahu_94476,Leyla'nınki gibi bir yazlık annemin almak istediği.
axg_11670,Ender'in evlenmek istediği kız Ayşe gibi.
avq_75340,Gaye'nin piknik yapmak istediği güzel bir bahçe var.
aox_34958,Şeyda'nın süpürmek istediği halı yün.
alk_57854,Hale'nin balık avlamak istediği göl Bolu'daki gibi.
ang_56302,Orkun'un gitmek istediği okul benimki gibi.
asi_92574,Nur'un almak istediği bileklik hediyelik eşya dükkanından.
ajt_57938,Banu'nun oturmak istediği banka başka bir bank.
avm_97607,Bakmak istediğim kediler Ayşe'ninki gibi.
aor_53324,Ayşenur'un oturmak istiyor olduğu apartman merkezi.
ath_74442,Gürsel'in dikiş dikmek istediği makine bundan başka.
apy_11439,Vedat'ın keşfetmek istediği restoran başka.
aag_20360,Mustafa'nın uyumadan önce okumak istediği sürükleyici bir roman var.
apt_42323,Ayşe'nin sahiplenmek istediği kedi hamile.
ave_99879,Esmer çocuğun bugün yarın görmek istediği kaslı bir tamirci varmış.
aua_61906,Hamiyet hala'nın bakmamı istediği bir köpek var.
apy_58878,Leyla'nın öpmek istediği tesisatçı başka.
ajt_57599,Dersten çıkınca şu çocuğun almak istediği bir defter vardı.
aqk_78809,Hüseyin'in ayrılmak istediği şirket bundan başka.
adw_75187,Herkesten bahsedeceğini ummuştum kitabında uzak diyarlardan gelen gözlemcinin.
aco_33784,Şövalye'nin yakalamak istediği kişi bir casus.
aip_80757,Nil'in her gün yazmak istediği için çok çalıştığı bir öykü var.
aib_34374,Rüstem'in röportaj yapmak istediği kişi işsiz bir mezun.
alu_76825,Müge'nin röportaj yapmak istediği başka bir konuk var.
xxx_00001,border1
ags_88089,Deniz herhangi bir dili konuşmak isterse kesinlikle hemen öğrenir.
amw_37299,Ayşe gideceği yerin bir otel olmasını istiyor.
ani_55363,Gönül mesleği sıvacılık olan herhangi bir kişinin işini herkesten iyi yaptığını düşünüyor.
abf_51293,Sana yardımcı olacak şeyin bir kitap olduğunu düşünüyor Ali.
aoc_58863,Melahat mezun olacağı yer bir okul olsun istiyor.
aoe_30410,Kerem bundan başka herhangi bir manzaraya bakmak istiyor.
auz_75957,Pelin görmek istediği kişinin uzman bir doktor olmasını istiyor.
akk_45712,Ayşe tecrübeli bir reklamcı olsun istiyor çalışacağı kişi.
aan_40213,Ajanstakilerin istediği seninki gibi herhangi bir öneride bulunmak.
agy_36377,Belma yalnız çıkacağı yolculuk bir vapur yolculuğu olsun istiyor.
aph_63415,Kim olduğu önemli olmayan bir müşteriye Mehmet bakmak istiyor.
auu_32112,Ceylan senin yaptığına benzeyen herhangi bir sebze yemeğinden yemek istiyor.
avm_52731,Abidin bu resim dışında  herhangi başka bir resim çizmek istiyor.
apu_73222,Müjdat bahsi geçilen şirket dışında herhangi bir şirkette çalışmayı istiyor. 
acx_47236,Büyük ihtimalle Elif kaza geçirirse kimse ona ulaşamaz. 
ain_67404,Recep uzun zamandır ekmeğin kaç lira olduğunu sorgulamamıştı. 
afz_70015,Seda gelecekte ev satın almasının zorunlu olduğunu düşünüyor.
asi_96645,Süreyya herhangi bir tekne gezisine katılması gerektiğini söylüyor.
auo_68470,Konuşacağı konu bunun gibi olsun istiyor Asude.
acj_11578,Yağız kendine yeni arkadaş edinmek istiyor.
auk_95765,Cenk herhangi bir araba satın alırsa mutlu olacağını düşünüyor.
aem_68582,Ali kuyumcuya hırsız girdiğini mi iddia ediyor?
aea_56554,Ev arkadaşım herhangi bir kediye bakmak istiyor.
akn_13432,Alacağı yazlık deniz görsün istiyor Gülsüm.
aed_30668,Ev almak istiyorum şuradaki gibi bir tane.
aap_38754,Yiğit bu fotoğraf dışında başka herhangi bir fotoğraf bastırmak istiyor.
afq_76159,Bener buradaki gibi olan herhangi bir fotoğrafta yer almak istiyor.
ahg_84513,Kitap okumasını önerdim ona yardımcı olur diye.
apy_80895,Hakan arkadaşı olan insanlardan herhangi birine uğramak istiyor.
apz_28547,Batu alıntı yaptığı kitap Buğra'nınki gibi olsun istiyor.
ajq_85341,Filiz alacağı araba kırmızı olsun istiyor.
ahv_27772,Kenan yola çıkacağı şoför yorgun olsun istiyor.
art_65141,Kardeşim para biriktirdikten sonra araba almak istiyor.
aoi_44822,Abraham akşam için pişirilen herhangi bir kurabiyenin kaç derecede pişirildiğini bilmiyordu. 
afs_52624,Annemler tatilde yat kiralamak istiyor.
aeh_65253,Süheyla yiyeceği tatlı restoranda servis edilen gibi olsun istiyor.
afv_82376,Leyla bu konudan başka herhangi bir konuda konuşmak istiyor.
acg_89615,Her katılımcı masaya oturmak gerektiğini düşündü.
awn_47284,Uygar bu adamdan farklı herhangi bir adamla dövüşmek istiyor.
axs_68287,Pelin bardak kırmak istiyor.
atm_56292,Özlem bu soruyu çözebilen kişi kim olursa onun öğrenci olacağını düşünüyor. 
atf_87654,Eda sadece yumurta ile kahvaltı yaparsa hemen acıkır.
azh_83815,Oğuz okulu bırakmak ve herhangi bir işte çalışmak istiyor.
aij_96629,Selin arkadaş olduğu kişilerden herhangi birini davet etmek istiyor.
acg_82153,Şeyma en yakın zamanda öpeceği kız kızıl saçlı olsun istiyor.
arz_32770,Gaddar adam fidan sökmeyi arzuluyordu.
afl_60018,Yaren grupta ajan olduğunu düşünüyordu.
agn_53690,Büşra herhangi bir arkadaşının ondan hoşlandığını düşünüyor.
atr_21320,En kısa zamanda araba almak istiyor en yakın arkadaşım.
ahq_38307,Dinlenmek istiyor Barış yoğun haftasonundan sonra.
aqj_89358,Mehmet onun gibi olan herhangi bir mühendisle çalışmak istiyor.
arp_49062,Canan bu okul olmayan başka herhangi bir okuldan mezun olmak istiyor.
amb_44065,Güzide bu evden başka herhangi bir ev almak istiyor.
azd_48390,Aysu şurdakine benzeyen herhangi bir hamakta uyumak istiyor.
any_48297,Okuduğu bölümü bırakıp herhangi başka bir bölüme geçmeyi planlıyormuş Ozan.
aph_69898,Başka herhangi bir uzmanla görüşmek istiyor Zülfikar.
abz_29228,Hilal bundan başka herhangi bir okulda okumak istiyor.
aoo_89334,Züleyha yıldız gibi olan herhangi bir oyuncu ile röportaj yapmak istiyor.
apf_12725,Lale'ninki gibi olan herhangi bir evi almak istiyor Banu.
aef_70838,Astrid şüpheliydi misafirlerinin eve gelirken herhangi bir hediye getirip getirmeyeceğinden.
axx_49305,Selin Büşra'nınki gibi olan herhangi bir çanta almak istiyor.
agc_36672,Aysu'nunki gibi olan herhangi bir şirkette çalışmak istiyor Gülin.
akw_73740,Sağduyu sahibi olan herhangi bir satıcı herkesin ödeyebileceği fiyatlar belirlemesi gerektiğini bilirdi.
avd_60782,Başka herhangi bir eve taşınmak istiyor Deniz.
aqn_86519,Eren sileceği anı üzücü olanlardan herhangi biri olsun istiyor.
ach_43919,Bizim dükkan gibi herhangi bir dükkan işletmek istiyor Turan.
agb_79858,Jülide okuyacağı kitap bu kitaptan başka olsun istiyor.
ajd_10222,Kimileri tüm odunları kesecek olanın oduncu birisi olacağına inanmıştı.
api_16131,Leyla göz atacağı şey bir soru olsun istiyor.
aou_45468,Janset bahsedeceği konu bundan farklı olsun istiyor.
aff_89456,Yarış kazanınca kendini kanıtlayacağını sanıyor o  kız.
awv_90290,Ayla kahve içmek isterse belki bana uğrar.
atp_90370,Mızıkanın kaç lira olduğundan bile habersiz Bremen'deki mızıkacı .
agd_32706,Sunay köpeğini yürütmek için onu parka götürmek istiyor.
ane_40933,Kübra başka herhangi bir trene binmek istiyor.
azd_32056,Kurumi  rengarenk olan herhangi bir kimonoyu önceden anlaştığı bir dükkandan satın almayı planlıyor.
apx_35179,Selin değiştireceği koltuk evdeki gibi olsun istiyor.
ajo_83132,Gülay dalından koparacağı limon olgun olsun istiyor.
aez_65539,Büşra  yaşayacağı ülke bundan başka herhangi bir ülke olsun istiyor.
azf_57312,Pelin içeceği şarap bundan farklı olsun istiyor.
avk_79621,Gizem evleneceği salon görkemli olsun istiyor.
axd_42085,Arkadaşım yazılarını gönderecekmiş herhangi bir dergiye.
adw_47532,Ne yapabilir Berrin yangın çıksa?
azv_95518,Jale Paris'tekiler gibi olan herhangi bir müzeye gitmek istiyor.
ayj_53899,Ders çalışırken dinlemek için şarkı açmak istiyormuş Buse.
aol_43476,Cansu alacağı dergi buradaki gibi olsun istiyor .
add_70773,Remziye mülakat yapacağı aday yetkin olsun istiyor.
aaf_19808,Halime giyeceği elbise bundan farklı olsun istiyor.
aye_22124,Cüneyt bundan başka herhangi bir pastadan yemek istiyor.
aos_93390,Enes herhangi bir hatası olmadığını iddia ediyor.
ami_81574,Şule benimki gibi olan herhangi bir çanta almak istiyor.
amm_40284,Marketten alışveriş yapmak istiyor Muharrem.
aib_89880,Gideceğim plaj İspanya'dakiler gibi olsun istiyorum.
avf_56211,Yaprak aşık olacağı adam başka birisi olsun istiyor.
ade_62542,3A sınıfından Emre babasıyla okuyabileceği herhangi bir şiiri ezberlemek istiyordu.
abp_89596,Tijen yiyeceği tatlı restorandaki gibi olsun istiyor.
amo_15634,Hilal sevgilisi benimki gibi olan herhangi birisi olsun istiyor.
aqi_80773,Annem alacağı yazlık leyla'nınki gibi olsun istiyor.
aqa_70650,Ender evleneceği kız Ayşe gibi birisi olsun istiyor.
aqi_30343,Gaye piknik yapacağı bahçe güzel olsun istiyor.
axd_94509,Şeyda süpüreceği halının yün olmasını istiyor.
aqd_49174,Hale Bolu'daki gibi olan herhangi bir gölden balık avlamak istiyor.
aii_83789,Orkun gideceği okul benimki gibi olsun istiyor.
aqz_23244,Nur hediyelik eşya dükkanından bileklik almak istiyor.
adx_31775,Banu bundan başka herhangi bir bankta oturmak istiyor.
aik_48433,Ayşe'ninkiler gibi kedilere bakmak istiyorum.
aea_45988,Ayşenur oturacağı apartman merkezi olsun istiyor.
alb_65091,Gürsel başka herhangi bir makineyle dikiş dikmek istiyor.
ans_36644,Vedat herhangi başka bir restoranı keşfetmek istiyor.
atb_53687,Mustafa uyumadan önce okuyacağı roman sürükleyici olsun istiyor.
aza_52900,Ayşe sahipleneceği kedi hamile olsun istiyor.
aqw_27892,esmer çocuk bugün yarın göreceği tamirci kaslı olsun istiyormuş.
acb_63714,Hamiyet hala benden herhangi bir köpeğe bakmamı istedi.
aej_33295,Leyla bundan öpeceği tesisatçı bundan başka olsun istiyor.
aau_99127,şu çocuk defter almak istiyordu dersten çıkınca.
ayh_62639,Hüseyin ayrılacağı şirket bundan farklı bir şirket olsun istiyor.
afu_88058,Uzak diyarlardan gelen herhangi bir gözlemcinin herkesten bahsedeceğini ummuştum kitabında.
adh_11734,Şövalye casus yakalamak istiyor.
aru_77445,Öykü yazmak isteyen Nil her gün çok çalışıyordu.
aca_50448,Rüstem röportaj yapacağı mezun işsiz olsun istiyor.
acq_42540,Müge herhangi başka bir konukla röportaj yapmak istiyor.
