Sent_id,Ambiguous Sentence,Sent_id,De Re Paraphrase (Unique Entity) ,RJ,Sent_id,De Dicto Paraphrase,DJ,,,,
azl_24210,restoranda servis edilen gibi bir tatlıdan yemek istiyor Süheyla.,ans_51552,Süheyla'nın yemek istediği tatlı restoranda servis ediliyor.,,aeh_65253,Süheyla yiyeceği tatlı restoranda servis edilen gibi olsun istiyor.,,,,,1
avd_78145,Leyla başka bir konu konuşmak istiyor.,ako_22126,Leyla'nın konuşmak istediği konu şu an konuşulan konudan farklı.,,afv_82376,Leyla bu konudan başka herhangi bir konuda konuşmak istiyor.,,,,,1
ahf_71931,Her katılımcı bir masaya oturmak gerektiğini düşündü.,amk_47516,Her katılımcının oturmak gerektiğini düşündüğü masa aynı.,,acg_89615,Her katılımcı masaya oturmak gerektiğini düşündü.,,,,,1
asu_38553,Uygar başka bir adamla dövüşmek istiyor.,aee_79304,Uygar'ın dövüşmek istediği adam başka.,,awn_47284,Uygar bu adamdan farklı herhangi bir adamla dövüşmek istiyor.,,,,,1
aci_98521,bir bardak kırmak ister Pelin.,aml_64781,Pelin'in kırmak istediği bir bardak var.,,axs_68287,Pelin bardak kırmak istiyor.,,,,,1
aau_71899,Özlem bir öğrencinin bu soruyu çözebileceğini düşünüyor.,aql_39346,Özlem'in bu soruyu çözebileceğini düşündüğü kişi bir öğrenci.,,atm_56292,Özlem bu soruyu çözebilen kişi kim olursa onun öğrenci olacağını düşünüyor. ,,,,,1
ayu_83025,Eda sadece bir yumurta ile kahvaltı yaparsa hemen acıkır.,avb_19348,Eda'nın kahvaltıda yerse hemen acıkacağı şey sadece yumurta.,0,atf_87654,Eda sadece yumurta ile kahvaltı yaparsa hemen acıkır.,,,,,1
avl_81584,Okulu bırakıp bir işte çalışmak istiyormuş Oğuz.,abd_43807,Oğuz'un okulu bırakıp girmek istediği belli bir iş var.,,azh_83815,Oğuz okulu bırakmak ve herhangi bir işte çalışmak istiyor.,,,,,1
aue_35617,Selin bir arkadaşını davet etmeyi düşünüyor.,alc_13417,Selin'in davet etmeyi düşündüğü bir arkadaşı var.,,aij_96629,Selin arkadaş olduğu kişilerden herhangi birini davet etmek istiyor.,,,,,0
abl_33144,Şeyma en kısa zamanda kızıl saçlı bir kız öpmek istiyor.,aro_31774,Şeyma'nın en kısa zamanda öpmek istediği kişi kızıl saçlı bir kız.,,acg_82153,Şeyma en yakın zamanda öpeceği kız kızıl saçlı olsun istiyor.,,,,,1
ajf_70518,Gaddar adam fidanlardan birini sökmeyi arzuluyordu.,aag_67930,Gaddar adamın sökmeyi arzuladığı belli bir fidan vardı.,,arz_32770,Gaddar adam fidan sökmeyi arzuluyordu.,,,,,1
ajs_53004,Yaren grupta bir kişinin ajan olduğunu düşünüyor.,axq_34473,Yaren'in grupta olduğunu düşündüğü bir ajan var.,,afl_60018,Yaren grupta ajan olduğunu düşünüyordu.,,,,,1
akj_25372,Büşra bir arkadaşının ondan hoşlandığını düşünyor.,apl_42219,Büşra'nın ondan hoşlandığını düşündüğü bir arkadaşı var.,,agn_53690,Büşra herhangi bir arkadaşının ondan hoşlandığını düşünüyor.,,,,,0
apb_29078,en kısa zamanda bir araba almak istiyormuş en yakın arkadaşım.,aak_65571,En yakın arkadaşımın almak istediği belli bir arabayı en kısa zamanda almak.,,atr_21320,En kısa zamanda araba almak istiyor en yakın arkadaşım.,,,,,1
ayp_59218,Barış yoğun bir haftasonundan sonra dinlenmek istiyor.,aae_51073,Barış'ın yoğun olan haftasonundan sonra istediği dinlenmek.,,ahq_38307,Dinlenmek istiyor Barış yoğun haftasonundan sonra.,,,,,1
ajp_77252,Mehmet onun gibi bir mühendisle çalışmak istiyor.,all_78903,Mehmet'in çalışmak istediği mühendis onun gibi.,,aqj_89358,Mehmet onun gibi olan herhangi bir mühendisle çalışmak istiyor.,,,,,1
aww_66895,başka bir okuldan mezun olmak istiyor Canan.,aji_85671,Canan'ın mezun olmak istediği okul başka.,,arp_49062,Canan bu okul olmayan başka herhangi bir okuldan mezun olmak istiyor.,,,,,1
acn_38071,Güzide başka bir ev almak istiyor.,abo_89968,Özel bir ev var Güzide'nin almak istediği bundan başka.,,amb_44065,Güzide bu evden başka herhangi bir ev almak istiyor.,,,,,1
acf_72790,Aysu şunun gibi bir hamakta uyumak istiyor.,aos_35436,Aysu'nun uyumak istediği hamak şunun gibi.,,azd_48390,Aysu şurdakine benzeyen herhangi bir hamakta uyumak istiyor.,,,,,1
ads_90043,Ozan okuduğu bölümü bırakıp başka bir bölüme geçmeyi planlıyormuş.,aqo_70553,Ozan'ın okuduğu bölümü bırakıp geçmeyi planladığı başka bir bölüm var.,,any_48297,Okuduğu bölümü bırakıp herhangi başka bir bölüme geçmeyi planlıyormuş Ozan.,,,,,0
ajv_69460,Zülfikar başka bir uzman ile görüşmek istiyor.,amo_17736,Zülfikar'ın görüşmek istediği uzman başka.,,aph_69898,Başka herhangi bir uzmanla görüşmek istiyor Zülfikar.,,,,,1
aoq_44041,Hilal başka bir okulda okumak istiyor.,aen_83509,Hilal'in okumak istediği başka bir okul var.,,abz_29228,Hilal bundan başka herhangi bir okulda okumak istiyor.,,,,,1
adr_45161,Züleyha yıldız gibi bir oyuncu ile röportaj yapmak istiyor.,avx_87396,Züleyha'nın röportaj yapmak istediği oyuncu yıldız gibi.,,aoo_89334,Züleyha yıldız gibi olan herhangi bir oyuncu ile röportaj yapmak istiyor.,,,,,1
alh_36301,Banu lale'ninki gibi bir evi almak istiyor.,aqs_31060,Banu'nun almak istediği ev Lale'ninki gibi.,,apf_12725,Lale'ninki gibi olan herhangi bir evi almak istiyor Banu.,,,,,1
awc_12599,Astrid misafirlerinin eve gelirken bir hediye getirip getirmeyeceğinden şüpheliydi.,aqi_66973,Astrid'in misafirlerinin eve gelirken getirip getirmeyeceklerinden şüpheli olduğu bir hediye vardı.,,aef_70838,Astrid şüpheliydi misafirlerinin eve gelirken herhangi bir hediye getirip getirmeyeceğinden.,,,,,1
afa_12090,"Selin, büşra'nınki gibi bir çanta almak istiyor.",ait_58671,Selin'in almak istediği çanta Büşra'nınki gibi.,,axx_49305,Selin Büşra'nınki gibi olan herhangi bir çanta almak istiyor.,,,,,1
akq_99128,Gülin aysu'nunki gibi bir şirkette çalışmak istiyor.,asi_23493,Aysu'nunki gibi bir şirket Gülin'in çalışmak istediği.,,agc_36672,Aysu'nunki gibi olan herhangi bir şirkette çalışmak istiyor Gülin.,,,,,1
agz_25691,Sağduyu sahibi bir satıcı herkesin ödeyebileceği fiyatlar belirlemesi gerektiğini bilirdi.,aqe_23513,Bilirdi herkesin ödeyebileceği fiyatlar belirlemesi gerektiğini sağduyu sahibi olan satıcı.,,akw_73740,Sağduyu sahibi olan herhangi bir satıcı herkesin ödeyebileceği fiyatlar belirlemesi gerektiğini bilirdi.,,,,,1
ajr_14033,Deniz başka bir eve taşınmak istiyor.,afy_18250,Bir ev var Deniz'in taşınmak istediği bundan başka.,,avd_60782,Başka herhangi bir eve taşınmak istiyor Deniz.,,,,,1
afi_21992,Silmek istiyor başka bir üzücü anıyı Eren.,ash_14448,Eren'in silmek istediği başka bir üzücü anı var.,,aqn_86519,Eren sileceği anı üzücü olanlardan herhangi biri olsun istiyor.,,,,,1
akp_88081,Turan bizim dükkan gibi bir dükkanı işletmek istiyor.,anz_62814,Turan'ın işletmek istediği dükkan bizim dükkan gibi.,,ach_43919,Bizim dükkan gibi herhangi bir dükkan işletmek istiyor Turan.,,,,,1
amu_20677,Jülide başka bir kitap okumak istiyor.,aia_45556,Jülide'nin okumak istediği başka bir kitap var.,,agb_79858,Jülide okuyacağı kitap bu kitaptan başka olsun istiyor.,,,,,1
awo_22905,Kimileri bir oduncunun tüm odunları keseceğine inanmıştı.,ahw_57698,Kimiler'nin tüm odunları keseceğine inanmış olduğu bir oduncu var.,,ajd_10222,Kimileri tüm odunları kesecek olanın oduncu birisi olacağına inanmıştı.,,,,,1
adf_60281,Bir soruya Leyla göz atmak istiyor.,avo_46101,Leyla'nın göz atmak istiyor olduğu bir soru var.,,api_16131,Leyla göz atacağı şey bir soru olsun istiyor.,,,,,0
ado_44300,Janset başka bir konudan bahsetmek istiyor.,asv_48544,Başka bir konu var Janset'in bahsetmek istiyor olduğu.,,aou_45468,Janset bahsedeceği konu bundan farklı olsun istiyor.,,,,,1
ass_81861,Bir yarış kazanınca kendini kanıtlayacağını sanıyor o kız.,atg_37463,O kızın kazanınca kendini kanıtlayacağını sandığı bir yarış var.,,aff_89456,Yarış kazanınca kendini kanıtlayacağını sanıyor o  kız.,,,,,1
asz_80537,Ayla bir kahve içmek isterse belki bana uğrar.,ach_39019,Ayla'nın içmek isterse bana uğrayacağı belli bir çeşit kahve var.,,awv_90290,Ayla kahve içmek isterse belki bana uğrar.,,,,,1
ajt_16512,Bremen'deki mızıkacı bir mızıkanın kaç lira olduğundan bile habersiz.,anr_77677,Bremen'deki mızıkacı'nın kaç lira olduğundan bile habersiz olduğu bir mızıka var.,,atp_90370,Mızıkanın kaç lira olduğundan bile habersiz Bremen'deki mızıkacı .,,,,,1
agx_62789,Sunay köpeğini yürütmek için onu bir parka götürmek istiyor.,abd_73960,Sunay'ın onu götürmek istediği bir park var köpeğini yürütmek için.,,agd_32706,Sunay köpeğini yürütmek için onu parka götürmek istiyor.,,,,,1
aea_75249,Kübra başka bir trene binmek istiyor.,ano_38074,Kübra'nın binmek istediği tren bundan başka.,,ane_40933,Kübra başka herhangi bir trene binmek istiyor.,,,,,1
aot_25854,Kurumi önceden anlaştığı bir dükkandan rengarenk bir kimono satın almayı planlıyor.,aro_52390,Kurumi'nin satın almayı planlıyor olduğu kimono önceden anlaştığı belli bir dükkandan.,,azd_32056,Kurumi  rengarenk olan herhangi bir kimonoyu önceden anlaştığı bir dükkandan satın almayı planlıyor.,,,,,1
atn_51726,Selin evdeki gibi bir koltuğu değiştirmek istiyor.,anc_90225,Selin'in değiştirmek istediği koltuk evdeki gibi.,,apx_35179,Selin değiştireceği koltuk evdeki gibi olsun istiyor.,,,,,0
agb_42303,Gülay olgun bir limonu dalından koparmak istiyor.,aqu_98129,Olgun bir limon Gülay'ın dalından koparmak istediği.,,ajo_83132,Gülay dalından koparacağı limon olgun olsun istiyor.,,,,,1
aam_68533,Büşra başka bir ülkede yaşamak istiyor.,awm_87297,Büşra'nın yaşamak istediği ülke başka.,,aez_65539,Büşra  yaşayacağı ülke bundan başka herhangi bir ülke olsun istiyor.,,,,,1
awd_68384,Pelin istiyor başka bir şarabı içmek.,anh_43728,Bir başka şarap var Pelin'in içmek istediği.,,azf_57312,Pelin içeceği şarap bundan farklı olsun istiyor.,,,,,1
ayt_82740,Gizem görkemli bir salonda evlenmek istiyor.,avj_23752,Gizem'in evlenmek istediği salon görkemli.,,avk_79621,Gizem evleneceği salon görkemli olsun istiyor.,,,,,1
ata_77314,Arkadaşım bir dergiye yazılarını gönderecekmiş.,ajo_37102,Arkadaşım'ın yazılarını göndereceği bir dergi var.,,axd_42085,Arkadaşım yazılarını gönderecekmiş herhangi bir dergiye.,,,,,0
abt_18950,Berrin bir yangın çıkarsa ne yapabilir?,avj_46583,Ne yapabilir Berrin belli bir yangın çıkarsa?,0,adw_47532,Ne yapabilir Berrin yangın çıksa?,,,,,1
avg_30172,paris'tekiler gibi bir müzeye gitmek istiyor Jale.,aqy_83166,Jale'nin gitmek istediği Paris'tekiler gibi olan bir müze var.,,azv_95518,Jale Paris'tekiler gibi olan herhangi bir müzeye gitmek istiyor.,,,,,1
aws_93656,Ders çalışırken dinlemek için bir şarkı açmak istiyormuş Buse.,ank_94897,Buse'nin ders çalışırken dinlemek için açmak istediği bir şarkı var.,,ayj_53899,Ders çalışırken dinlemek için şarkı açmak istiyormuş Buse.,,,,,1
aua_34964,buradaki gibi bir dergi almayı istiyor Cansu.,aoh_52115,Cansu'nun almayı istediği dergi buradakiler gibi.,,aol_43476,Cansu alacağı dergi buradaki gibi olsun istiyor .,,,,,1
azp_84965,Remziye yetkin bir adayla mülakat yapmak istiyor.,akp_67683,Yetkin bir aday Remziye'nin mülakat yapmak istediği.,,add_70773,Remziye mülakat yapacağı aday yetkin olsun istiyor.,,,,,1
acx_23976,Halime başka bir elbise giymek istiyor.,ade_84306,Halime'nin giymek istediği başka bir elbise.,,aaf_19808,Halime giyeceği elbise bundan farklı olsun istiyor.,,,,,1
aqh_86904,başka bir pastadan yemek istiyor Cüneyt.,axx_26176,Cüneyt'in yemek istediği başka bir pasta var.,,aye_22124,Cüneyt bundan başka herhangi bir pastadan yemek istiyor.,,,,,1
aqb_33286,Enes bir hatası olmadığını iddia ediyor.,apl_70954,Enes'in olmadığını iddia ettiği şey bir hata.,,aos_93390,Enes herhangi bir hatası olmadığını iddia ediyor.,,,,,1
aeo_84561,benimki gibi bir çanta almak istiyor Şule.,aoi_79843,Benimki gibi Şule'nin almak istediği çanta.,,ami_81574,Şule benimki gibi olan herhangi bir çanta almak istiyor.,,,,,1
acs_38935,Muharrem bir marketten alışveriş yapmak istiyor.,auz_44373,Muharrem'in alışveris yapmak istediği yer bir market.,,amm_40284,Marketten alışveriş yapmak istiyor Muharrem.,,,,,1
asi_12744,ispanya'dakiler gibi bir plaja gitmek istiyorum.,axq_84745,Gitmek istediğim plaj İspanya'dakiler gibi.,,aib_89880,Gideceğim plaj İspanya'dakiler gibi olsun istiyorum.,,,,,1
aqm_88861,Yaprak başka bir adama aşık olmak istiyor.,aly_62343,Yaprak'ın aşık olmak istediği başka bir adam.,,avf_56211,Yaprak aşık olacağı adam başka birisi olsun istiyor.,,,,,1
agj_49616,3A sınıfından Emre babasıyla okuyabileceği bir şiiri ezberlemek istiyordu.,awx_81810,3A sınıfından Emre'nin ezberlemek istediği babasıyla okuyabileceği bir şiirdi.,,ade_62542,3A sınıfından Emre babasıyla okuyabileceği herhangi bir şiiri ezberlemek istiyordu.,,,,,1
ant_43695,Tijen restorandaki gibi bir tatlıyı yemek istiyor.,akh_36889,Tijen'in yemek istiyor olduğu tatlı restorandaki gibi.,,abp_89596,Tijen yiyeceği tatlı restorandaki gibi olsun istiyor.,,,,,1
aef_31941,"Hilal, benimki gibi bir sevgilisi olmasını istiyor.",aeb_84014,Hilal'in olmasını istediği sevgili benimki gibi.,,amo_15634,Hilal sevgilisi benimki gibi olan herhangi birisi olsun istiyor.,,,,,1
aqd_89324,Annem leyla'nınki gibi bir yazlık almak istiyor.,ahu_94476,Leyla'nınki gibi bir yazlık annemin almak istediği.,,aqi_80773,Annem alacağı yazlık leyla'nınki gibi olsun istiyor.,,,,,1
aoz_51681,ayşe gibi bir kızla evlenmek istiyor Ender.,axg_11670,Ender'in evlenmek istediği kız Ayşe gibi.,,aqa_70650,Ender evleneceği kız Ayşe gibi birisi olsun istiyor.,,,,,1
ate_74641,Güzel bir bahçede piknik yapmak istiyor Gaye.,avq_75340,Gaye'nin piknik yapmak istediği güzel bir bahçe var.,,aqi_30343,Gaye piknik yapacağı bahçe güzel olsun istiyor.,,,,,1
aco_78339,Şeyda yün bir halıyı süpürmek istiyor.,aox_34958,Şeyda'nın süpürmek istediği halı yün.,,axd_94509,Şeyda süpüreceği halının yün olmasını istiyor.,,,,,1
aiz_27910,bolu'daki gibi bir gölden balık avlamak istiyor Hale.,alk_57854,Hale'nin balık avlamak istediği göl Bolu'daki gibi.,,aqd_49174,Hale Bolu'daki gibi olan herhangi bir gölden balık avlamak istiyor.,,,,,1
afh_31700,Orkun benimki gibi bir okula gitmek istiyor.,ang_56302,Orkun'un gitmek istediği okul benimki gibi.,,aii_83789,Orkun gideceği okul benimki gibi olsun istiyor.,,,,,1
ajt_42048,Nur hediyelik eşya dükkanından bir bileklik almak istiyor.,asi_92574,Nur'un almak istediği bileklik hediyelik eşya dükkanından.,,aqz_23244,Nur hediyelik eşya dükkanından bileklik almak istiyor.,,,,,1
aqt_15770,Banu başka bir bankta oturmak istiyor.,ajt_57938,Banu'nun oturmak istediği banka başka bir bank.,,adx_31775,Banu bundan başka herhangi bir bankta oturmak istiyor.,,,,,1
all_55179,ayşe'ninkiler gibi kedilere bakmak istiyorum.,avm_97607,Bakmak istediğim kediler Ayşe'ninki gibi.,0,aik_48433,Ayşe'ninkiler gibi kedilere bakmak istiyorum.,0,,,,
anx_85080,Ayşenur istiyor merkezi bir apartmanda oturmak.,aor_53324,Ayşenur'un oturmak istiyor olduğu apartman merkezi.,,aea_45988,Ayşenur oturacağı apartman merkezi olsun istiyor.,,,,,1
arg_99023,Gürsel başka bir makineyle dikiş dikmek istiyor.,ath_74442,Gürsel'in dikiş dikmek istediği makine bundan başka.,,alb_65091,Gürsel başka herhangi bir makineyle dikiş dikmek istiyor.,,,,,1
atv_67955,Vedat istiyor başka bir restoranı keşfetmek.,apy_11439,Vedat'ın keşfetmek istediği restoran başka.,,ans_36644,Vedat herhangi başka bir restoranı keşfetmek istiyor.,,,,,1
agb_67463,Mustafa uyumadan önce sürükleyici bir roman okumak istiyor.,aag_20360,Mustafa'nın uyumadan önce okumak istediği sürükleyici bir roman var.,,atb_53687,Mustafa uyumadan önce okuyacağı roman sürükleyici olsun istiyor.,,,,,1
agd_52066,Ayşe hamile bir kedi sahiplenmek istiyor.,apt_42323,Ayşe'nin sahiplenmek istediği kedi hamile.,,aza_52900,Ayşe sahipleneceği kedi hamile olsun istiyor.,,,,,1
aob_58285,esmer çocuk bugün yarın kaslı bir tamirci görmek istiyormuş.,ave_99879,Esmer çocuğun bugün yarın görmek istediği kaslı bir tamirci varmış.,,aqw_27892,esmer çocuk bugün yarın göreceği tamirci kaslı olsun istiyormuş.,,,,,1
aoh_63645,Hamiyet hala istedi benden bir köpeğe bakmamı.,aua_61906,Hamiyet hala'nın bakmamı istediği bir köpek var.,,acb_63714,Hamiyet hala benden herhangi bir köpeğe bakmamı istedi.,,,,,0
ajn_48337,Leyla başka bir tesisatçıyı öpmek istiyor.,apy_58878,Leyla'nın öpmek istediği tesisatçı başka.,,aej_33295,Leyla bundan öpeceği tesisatçı bundan başka olsun istiyor.,,,,,1
agw_13198,şu çocuk bir defter almak istiyordu dersten çıkınca.,ajt_57599,Dersten çıkınca şu çocuğun almak istediği bir defter vardı.,,aau_99127,şu çocuk defter almak istiyordu dersten çıkınca.,,,,,1
aga_84412,Hüseyin başka bir şirketten ayrılmak istiyor.,aqk_78809,Hüseyin'in ayrılmak istediği şirket bundan başka.,,ayh_62639,Hüseyin ayrılacağı şirket bundan farklı bir şirket olsun istiyor.,,,,,0
avb_38727,Uzak diyarlardan gelen bir gözlemcinin kitabında herkesten bahsedeceğini ummuştum.,adw_75187,Herkesten bahsedeceğini ummuştum kitabında uzak diyarlardan gelen gözlemcinin.,,afu_88058,Uzak diyarlardan gelen herhangi bir gözlemcinin herkesten bahsedeceğini ummuştum kitabında.,,,,,1
aeb_70666,bir casus yakalamak istiyor Şövalye.,aco_33784,Şövalye'nin yakalamak istediği kişi bir casus.,,adh_11734,Şövalye casus yakalamak istiyor.,,,,,1
awe_56672,Bir öykü yazmak isteyen Nil her gün çok çalışıyordu.,aip_80757,Nil'in her gün yazmak istediği için çok çalıştığı bir öykü var.,,aru_77445,Öykü yazmak isteyen Nil her gün çok çalışıyordu.,,,,,1
aoy_41805,Rüstem işsiz bir mezunla röportaj yapmak istiyor.,aib_34374,Rüstem'in röportaj yapmak istediği kişi işsiz bir mezun.,,aca_50448,Rüstem röportaj yapacağı mezun işsiz olsun istiyor.,,,,,1
