ve,,Canan,,bardak,soruyu,yola,şirkette,sınıfından,oduncunun,,gezisi,,kırmızı,Şuradaki,,,,,,koparacağı,,çalışmak,,,,,,ona
zamandır,,Cansu,,bileklik,tatlıyı,soruya,tatilde,tatlıdan,öğrencinin,,sahibi,,kızıl,şurdakine,,,,,,kesecek,,çizmek,,,,,,Ona
şiirdi,,Cenk,,bölüm,tesisatçıyı,,,türden,şeyin,,sevgilisi,,mutlu,,,,,,,okuyacağı,,çıkmak,,,,,,ondan
şüpheliydi,,Ceylan,,çanta,,kedilere,,haftasonundan,sıvacının,,mesleği,,olgun,,,,,,,yiyeceği,,değiştirmek,,,,,,o
,,Cüneyt,,casus,odunları,,,,Şövalye'nin,,yolculuğu,,Olgun,,,,,,,yaşayacağı,,dikmek,,,,,,O
,,Deniz,,çeşit,,,,,şunun,,,,önemli,,,,,,,olacak,,dinlemek,,,,,,onun
,,deniz,,çocuk,,,,diyarlardan,yerin,,köpeğini,,özel,,,,,,,olacağı,,dinlenmek,,,,,,sana
,,Eda,,davet,,,,gölden,,,arkadaşını,,Özel,,,,,,,oturacağı,,Dinlenmek,,,,,,Sana
,,Elif,,defter,,,,insanlardan,,,işini,,rengarenk,,,,,,,ödeyebileceği,,dövüşmek,,,,,,senin
,,Emre,,dergi,,,,kişilerden,,,,,saçlı,,,,,,,süpüreceği,,edinmek,,,,,,bana
,,Ender,,Ders,,,,,,,yazılarını,,şu,,,,,,,yapacağı,,etmek,,,,,,herkesin
,,Enes,,ders,,,,,,,,,şüpheli,,,,,,,öğreneceği,,öpmek,,,,,,
,,Eren,,dikiş,,,,,,,arkadaşına,,sürükleyici,,,,,,,öpeceği,,sahiplenmek,,,,,,
,,Filiz,,dil,,,,,,,gezisine,,tecrübeli,,,,,,,sahipleneceği,,Silmek,,,,,,
,,Gaye,,doktor,,,,,,,yolculuğuna,,Tecrübeli,,,,,,,uğrayacağı,,silmek,,,,,,
,,Gizem,,dükkan,,,,,,,,,tüm,,,,,,,sileceği,,sökmeyi,,,,,,
,,Gönül,,ekmek,,,,,,,kitabında,,Uzak,,,,,,,,,süpürmek,,,,,,
,,Gülay,,elbise,,,,,,,,,uzak,,,,,,,Gideceğim,,taşınmak,,,,,,
,,Gülin,,eşya,,,,,,,arkadaşının,,üzücü,,,,,,,,,uğramak,,,,,,
,,Gülsüm,,ev,,,,,,,,,uzun,,,,,,,keseceğine,,uyumak,,,,,,
,,Gürsel,,Ev,,,,,,,misafirlerinin,,yalnız,,,,,,,olacağına,,yakalamak,,,,,,
,,Güzide,,fidan,,,,,,,,,yeni,,,,,,,,,yazmak,,,,,,
,,Hakan,,fiyatlar,,,,,,,babasıyla,,yoğun,,,,,,,bahsedeceğini,,yapmak,,,,,,
,,Hale,,fotoğraf,,,,,,,yemeğinden,,Yorgun,,,,,,,çözebileceğini,,yaşamak,,,,,,
,,Halime,,göl,,,,,,,,,yorgun,,,,,,,kanıtlayacağını,,evlenmek,,,,,,
,,Hamiyet,,hata,,,,,,,,,zorunlu,,,,,,,olacağını,,ezberlemek,,,,,,
,,Hilal,,hediye,,,,,,,,,Her,,,,,,,,,girmek,,,,,,
,,Hüseyin,,göz,,,,,,,,,her,,,,,,,okuyabileceği,,gitmek,,,,,,
,,Jale,,gün,,,,,,,,,herhangi,,,,,,,ulaşamayacağı,,Gitmek,,,,,,
,,Janset,,hala,,,,,,,,,hamile,,,,,,,,,giymek,,,,,,
,,Jülide,,halı,,,,,,,,,habersiz,,,,,,,getirmeyeceğinden,,görmek,,,,,,
,,Kenan,,hamak,,,,,,,,,iyi,,,,,,,getirmeyeceklerinden,,görüşmek,,,,,,
,,Kerem,,hırsız,,,,,,,,,kaslı,,,,,,,,,götürmek,,,,,,
,,Kübra,,yolculuk,,,,,,,,,kısa,,,,,,,istediğim,,içmek,,,,,,
,,Kurumi,,yumurta,,,,,,,,,kaç,,,,,,,önerdiğim,,işletmek,,,,,,
,,Leyla,,yün,,,,,,,,,önce,,,,,,,,,kırmak,,,,,,
,,Mehmet,,iddia,,,,,,,,,merkezi,,,,,,,arzuladığı,,kiralamak,,,,,,
,,Melahat,,iş,,,,,,,,,mevcut,,,,,,,çalıştığı,,konuşmak,,,,,,
,,Müge,,katılımcı,,,,,,,,,resmi,,,,,,,düşündüğü,,koparmak,,,,,,
,,Muharrem,,kız,,,,,,,,,yakın,,,,,,,ettiği,,keşfetmek,,,,,,
,,Müjdat,,kitap,,,,,,,,,,,,,,,,yaptığı,,okumak,,,,,,
,,Mustafa,,Kitap,,,,,,,,,,,,,,,,planladığı,,oturmak,,,,,,
,,Nil,,kişi,,,,,,,,,,,,,,,,sandığı,,olmak,,,,,,
,,Nur,,kahvaltı,,,,,,,,,,,,,,,,söylediği,,,,,,,,
,,Oğuz,,kahve,,,,,,,,,,,,,,,,anlaştığı,,yürütmek,,,,,,
,,Orkun,,kaza,,,,,,,,,,,,,,,,olduğu,,,,,,,,
,,öykü,,kedi,,,,,,,,,,,,,,,,okuduğu,,almasının,,,,,,
,,Öykü,,kediler,,,,,,,,,,,,,,,,Okuduğu,,,,,,,,
,,Ozan,,koltuk,,,,,,,,,,,,,,,,,,belirlemesi,,,,,,
,,Özlem,,konu,,,,,,,,,,,,,,,,gerektiğini,,katılması,,,,,,
,,Pelin,,konuk,,,,,,,,,,,,,,,,hoşlandığını,,,,,,,,
,,Recep,,köpek,,,,,,,,,,,,,,,,yaptığını,,olmasını,,,,,,
,,Remziye,,kimono,,,,,,,,,,,,,,,,olduğunu,,okumasını,,,,,,
,,Rüstem,,lira,,,,,,,,,,,,,,,,pişirildiğini,,,,,,,,
,,Seda,,makine,,,,,,,,,,,,,,,,girdiğini,,bakmamı,,,,,,
,,Selin,,masa,,,,,,,,,,,,,,,,,,,,,,,,
,,Şeyda,,manzara,,,,,,,,,,,,,,,,olmadığını,,,,,,,,
,,Şeyma,,yıldız,,,,,,,,,,,,,,,,,,,,,,,,
,,Süheyla,,market,,,,,,,,,,,,,,,,yaptığın,,,,,,,,
,,Şule,,öneri,,,,,,,,,,,,,,,,,,,,,,,,
,,Sunay,,öğrenci,,,,,,,,,,,,,,,,yaptığına,,,,,,,,
,,Süreyya,,oduncu,,,,,,,,,,,,,,,,,,,,,,,,
,,Tijen,,mezun,,,,,,,,,,,,,,,,olduğundan,,,,,,,,
,,Turan,,mızıka,,,,,,,,,,,,,,,,,,,,,,,,
,,Uygar,,mızıkacı,,,,,,,,,,,,,,,,girenin,,,,,,,,
,,Vedat,,mühendis,,,,,,,,,,,,,,,,olanın,,,,,,,,
,,Yağız,,okul,,,,,,,,,,,,,,,,,,,,,,,,
,,Yaprak,,müze,,,,,,,,,,,,,,,,olan,,,,,,,,
,,Yaren,,mülakat,,,,,,,,,,,,,,,,benzeyen,,,,,,,,
,,yetkin,,müşteri,,,,,,,,,,,,,,,,gelen,,,,,,,,
,,Yetkin,,oyuncu,,,,,,,,,,,,,,,,gören,,,,,,,,
,,Yiğit,,tren,,,,,,,,,,,,,,,,isteyen,,,,,,,,
,,Züleyha,,soru,,,,,,,,,,,,,,,,,,,,,,,,
,,Zülfikar,,Şövalye,,,,,,,,,,,,,,,,olanlardan,,,,,,,,
,,,,tamirci,,,,,,,,,,,,,,,,,,,,,,,,
,,Abidin'in,,tane,,,,,,,,,,,,,,,,olmayan,,,,,,,,
,,Ali'nin,,tatlı,,,,,,,,,,,,,,,,,,,,,,,,
,,Astrid'in,,tekne,,,,,,,,,,,,,,,,pişirilen,,,,,,,,
,,Asude'nin,,tesisatçı,,,,,,,,,,,,,,,,geçilen,,,,,,,,
,,Ayla'nın,,ülke,,,,,,,,,,,,,,,,edilen,,,,,,,,
,,Ayşe'nin,,uzman,,,,,,,,,,,,,,,,konuşulan,,,,,,,,
,,Ayşe'ninki,,vapur,,,,,,,,,,,,,,,,,,,,,,,,
,,ayşe'ninkiler,,yangın,,,,,,,,,,,,,,,,,,,,,,,,
,,Ayşe'ninkiler,,Para,,,,,,,,,,,,,,,,,,,,,,,,
,,Ayşenur'un,,para,,,,,,,,,,,,,,,,çözebilen,,,,,,,,
,,Aysu'nun,,park,,,,,,,,,,,,,,,,,,,,,,,,
,,aysu'nunki,,pasta,,,,,,,,,,,,,,,,,,,,,,,,
,,Aysu'nunki,,piknik,,,,,,,,,,,,,,,,,,,,,,,,
,,Banu'nun,,plaj,,,,,,,,,,,,,,,,,,,,,,,,
,,Barış'ın,,reklamcı,,,,,,,,,,,,,,,,,,,,,,,,
,,Batu'nun,,resim,,,,,,,,,,,,,,,,,,,,,,,,
,,Belma'nın,,restoran,,,,,,,,,,,,,,,,,,,,,,,,
,,Bener'in,,otel,,,,,,,,,,,,,,,,,,,,,,,,
,,buğra'nınki,,roman,,,,,,,,,,,,,,,,,,,,,,,,
,,Buğra'nınki,,röportaj,,,,,,,,,,,,,,,,,,,,,,,,
,,Buse'nin,,Sağduyu,,,,,,,,,,,,,,,,,,,,,,,,
,,Büşra'nın,,sağduyu,,,,,,,,,,,,,,,,,,,,,,,,
,,büşra'nınki,,salon,,,,,,,,,,,,,,,,,,,,,,,,
,,Büşra'nınki,,yer,,,,,,,,,,,,,,,,,,,,,,,,
,,Canan'ın,,yemek,,,,,,,,,,,,,,,,,,,,,,,,
,,Cansu'nun,,yazlık,,,,,,,,,,,,,,,,,,,,,,,,
,,Cüneyt'in,,yat,,,,,,,,,,,,,,,,,,,,,,,,
,,Deniz'in,,yarış,,,,,,,,,,,,,,,,,,,,,,,,
,,Eda'nın,,Yarış,,,,,,,,,,,,,,,,,,,,,,,,
,,Emre'nin,,sıvacı,,,,,,,,,,,,,,,,,,,,,,,,
,,Ender'in,,sıvacılık,,,,,,,,,,,,,,,,,,,,,,,,
,,Enes'in,,şirket,,,,,,,,,,,,,,,,,,,,,,,,
,,Eren'in,,şarap,,,,,,,,,,,,,,,,,,,,,,,,
,,Filiz'in,,şarkı,,,,,,,,,,,,,,,,,,,,,,,,
,,Gaye'nin,,satıcı,,,,,,,,,,,,,,,,,,,,,,,,
,,Gizem'in,,satın,,,,,,,,,,,,,,,,,,,,,,,,
,,Gönül'ün,,sebze,,,,,,,,,,,,,,,,,,,,,,,,
,,Gülay'ın,,servis,,,,,,,,,,,,,,,,,,,,,,,,
,,Gülin'in,,sevgili,,,,,,,,,,,,,,,,,,,,,,,,
,,Gülsüm'ün,,şey,,,,,,,,,,,,,,,,,,,,,,,,
,,Gürsel'in,,şoför,,,,,,,,,,,,,,,,,,,,,,,,
,,Güzide'nin,,yardımcı,,,,,,,,,,,,,,,,,,,,,,,,
,,Hakan'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hale'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Halime'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hilal'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hüseyin'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jale'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Janset'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jülide'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kenan'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kerem'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kübra'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kurumi'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,lale'ninki,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lale'ninki,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leyla'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,leyla'nınki,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leyla'nınki,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mehmet'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Melahat'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Müge'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Muharrem'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Müjdat'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mustafa'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nil'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nur'un,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oğuz'un,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orkun'un,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ozan'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Özlem'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pelin'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Recep'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Remziye'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rüstem'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seda'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Selin'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Şeyda'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Şeyma'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Süheyla'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Şule'nin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sunay'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Süreyya'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tijen'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Turan'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Uygar'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vedat'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yağız'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yaprak'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yaren'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yiğit'in,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Züleyha'nın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zülfikar'ın,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cenk'in,,,,,,,,,,,,,,,,,,,,,,,,,,
