,0
104,dergi,mecmua,jurnal
105,yazı,makale,deneme
106,yangın,isyan,felaket
107,müze,sergi,galeri
108,Ders,konferans,seminer
109,şarkı,türkü,balad
110,yetkin,kalifiye,sofistike
111,aday,namzet,başvuran
112,mülakat,müzakere,toplantı
113,elbise,etek,pantolon
114,pasta,turta,baklava
115,hata,kusur,noksan
116,market,manav,bakkal
117,alışveriş,alım,ticaret
118,plaj,sahil,kıyı
119,baba,peder,ebeveyn
120,şiir,nazım,manzume
121,sevgili,yavuklu,manita
122,güzel,şık,beğenilen
123,bahçe,çardak,kır
124,piknik,gezinti,yürüyüş
125,yün,pamuklu,naylon
126,halı,kilim,paspas
127,göl,gölet,büvet
128,balık,hamsi,somon
129,eşya,nesne,yayıntı
130,bileklik,bilezik,yüzük
131,bank,taht,tabure
132,merkezi,yeni,ayakaltı
133,apartman,bina,blok
134,makine,cihaz,aygıt
135,sürükleyici,heyecanlı,ilginç
136,roman,novella,nesir
137,hamile,gebe,şişman
138,esmer,kumral,yağız
139,çocuk,oğlan,evlat
140,bugün,yarın,akşamüstü
141,yarın,geç,erken
142,kaslı,yapılı,iri
143,tamirci,usta,boyacı
144,hala,yenge,teyze
145,tesisatçı,muslukçu,tenekeci
146,defter,kalem,kağıt
147,ders,konferans,seminer
148,uzak,ırak,öte
149,diyar,kara,toprak
150,gözlemci,gözcü,gezgin
151,casus,hafiye,ispiyoncu
152,şövalye,savaşçı,asilzade
153,öykü,hikaye,destan
154,işsiz,boş,çalışmayan
155,mezun,profesyonel,ihtisasçı
156,konuk,işadamı,yönetmen
157,yer,mekan,tesis
158,belli,belirli,spesifik
159,Tecrübeli,deneyimli,olgun
160,meslek,iş,görev
161,yalnız,tek,yalın
162,yolculuk,seyahat,gezinti
163,aynı,tıpkı,özdeş
164,ihtimal,olasılık,yüzdelik
165,tür,cins,varyasyon
166,uzun,hayli,epey
167,lira,euro,pound
168,şey,varlık,entite
169,yorgun,bitkin,dermansız
170,para,altın,dolar
171,farklı,ayrı,başka
172,kahvaltı,öğün,taam
173,haftasonu,ay,hafta
174,özel,değerli,hususi
175,şüpheli,ikircikli,kuşkulu
176,Uzak,ırak,öte
177,Başka,farklı,değişik
178,çeşit,makule,tür
179,habersiz,bihaber,şuursuz
180,Olgun,ergin,taze
181,Esmer,kumral,yağız
182,sıvacılık,duvarcılık,ustalık
183,önemli,mühim,ehemmiyetli
184,bahis,muhabbet,konu
185,yeni,değişik,taze
186,tane,adet,çeşit
187,insan,insanoğlu,beşer
188,yakın,kısa,tez
189,hediyelik,hatıra,yadigar
